Metric Name;Metric Value
T15Year;2031
T15CO2;443.01823
T15ForestSize;42520240.91244
T20Year;2051
T20CO2;483.01804
T20ForestSize;48820430.98979
ForestSize2050;48782850.59765
CO2Concentration2050;482.90073
Temperature2050;1.99861
ForestSize2100;76269388.07867
CO2Concentration2100;445.54200
Temperature2100;1.53508
