Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240441.89318;415.44127;40516084.97636;1.12799
2022;3260393.68866;417.99919;40669689.68203;1.16352
2023;3282002.40158;420.76954;40827794.78598;1.20177
2024;3303425.56992;423.51610;40989170.44823;1.23944
2025;3324654.77677;426.23779;41153545.25263;1.27653
2026;3345674.22648;428.93259;41317984.87017;1.31301
2027;3366479.61546;431.59995;41493372.39423;1.34890
2028;3387061.49075;434.23865;41670512.70691;1.38418
2029;3407411.05367;436.84757;41852413.72604;1.41885
2030;3427518.68823;439.42547;42038703.16829;1.45290
2031;3447375.22593;441.97118;42229528.15553;1.48634
2032;3466968.84503;444.48319;42431299.46819;1.51914
2033;3486287.50155;446.95994;42633235.70583;1.55129
2034;3505320.86396;449.40011;42841076.53943;1.58280
2035;3524057.12681;451.80220;43052717.31725;1.61364
2036;3542484.95130;454.16474;43264682.80409;1.64382
2037;3560590.88567;456.48601;43490464.67023;1.67331
2038;3578361.17956;458.76425;43719282.85631;1.70212
2039;3595781.41019;460.99762;43953666.92996;1.73021
2040;3612838.30281;463.18440;44188793.84200;1.75758
2041;3629518.11123;465.32283;44427519.36896;1.78423
2042;3645804.22864;467.41080;44681411.16762;1.81012
2043;3661679.49756;469.44609;44939326.79934;1.83525
2044;3677127.93477;471.42666;45202444.77405;1.85960
2045;3692133.75842;473.35048;45465559.16067;1.88315
2046;3706680.54505;475.21545;45735059.49809;1.90588
2047;3720749.21715;477.01913;46018051.52685;1.92779
2048;3734320.47444;478.75904;46306330.14722;1.94883
2049;3747376.29416;480.43286;46598104.21441;1.96901
2050;3759898.69445;482.03829;46892873.17074;1.98829
2051;3771870.10306;483.57309;47186866.27347;2.00667
2052;3783269.83028;485.03459;47501296.52714;2.02411
2053;3794075.86329;486.41998;47821834.84456;2.04059
2054;3804269.53983;487.72686;48141805.22307;2.05610
2055;3813832.86039;488.95293;48463688.59249;2.07060
2056;3822746.21394;490.09567;48794830.63043;2.08409
2057;3830987.57321;491.15225;49143600.03056;2.09653
2058;3838530.35895;492.11928;49498804.80482;2.10789
2059;3845328.40714;492.99082;49845943.30203;2.11811
2060;3851380.81458;493.76677;50197006.66399;2.12720
2061;3856669.23260;494.44477;50555933.21565;2.13512
2062;3861173.02171;495.02218;50937536.25601;2.14186
2063;3864872.93802;495.49653;51324381.01647;2.14739
2064;3867756.00693;495.86615;51702744.80366;2.15169
2065;3869811.79985;496.12972;52078915.17549;2.15476
2066;3871024.02845;496.28513;52457351.07563;2.15657
2067;3871379.91327;496.33076;52872813.38063;2.15710
2068;3870865.83081;496.26485;53290456.26060;2.15633
2069;3869464.49733;496.08519;53703480.86576;2.15424
2070;3867178.61536;495.79213;54125490.92322;2.15084
2071;3864008.82457;495.38575;54532445.93613;2.14611
2072;3859953.00327;494.86577;54981407.10605;2.14005
2073;3855009.31714;494.23196;55429748.20951;2.13266
2074;3849187.65318;493.48560;55867565.10560;2.12394
2075;3842499.53605;492.62815;56312640.82937;2.11392
2076;3834960.59729;491.66162;56741284.89353;2.10259
2077;3826617.90607;490.59204;57223997.10692;2.09004
2078;3817373.64417;489.40688;57697959.34622;2.07610
2079;3807301.93244;488.11563;58166705.04890;2.06087
2080;3796437.73551;486.72279;58632105.00725;2.04441
2081;3784940.12488;485.24873;59053473.35329;2.02693
2082;3772995.39221;483.71736;59565591.16000;2.00872
2083;3760356.91621;482.09704;60061399.00190;1.98939
2084;3747053.77824;480.39151;60548977.45097;1.96897
2085;3733157.31200;478.60991;61025863.76820;1.94757
2086;3718789.77203;476.76792;61435042.78387;1.92536
2087;3704044.33702;474.87748;61972475.17378;1.90248
2088;3688753.54631;472.91712;62485376.80468;1.87866
2089;3672943.29925;470.89017;62983637.44668;1.85392
2090;3656667.70778;468.80355;63473804.75821;1.82835
2091;3640009.23168;466.66785;63955609.85019;1.80206
2092;3623089.91733;464.49871;64510711.82845;1.77524
2093;3605764.90343;462.27755;65037709.62781;1.74764
2094;3588047.39072;460.00608;65566910.44495;1.71929
2095;3569969.43526;457.68839;66071982.77356;1.69021
2096;3551584.52508;455.33135;66563440.94968;1.66049
2097;3532988.66891;452.94727;67136939.90372;1.63028
2098;3514076.78162;450.52266;67671962.08485;1.59939
2099;3494824.33782;448.05440;68207974.62528;1.56777
2100;3475250.57021;445.54494;68738721.57810;1.53545
2101;3455400.47133;443.00006;69240467.11056;1.50249
