Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240467.41951;415.44454;40508433.37150;1.12804
2022;3260448.26852;418.00619;40649645.45704;1.16362
2023;3282111.15877;420.78348;40795317.22119;1.20196
2024;3303607.69406;423.53945;40944244.26099;1.23976
2025;3324931.53528;426.27327;41096712.49578;1.27701
2026;3346076.38537;428.98415;41250535.15599;1.31371
2027;3367034.39247;431.67108;41415625.02222;1.34985
2028;3387797.29024;434.33299;41582794.07855;1.38544
2029;3408357.52893;436.96891;41755057.42128;1.42046
2030;3428706.80604;439.57780;41932050.01715;1.45492
2031;3448837.18128;442.15861;42109962.99116;1.48880
2032;3468739.30910;444.71017;42299094.71737;1.52210
2033;3488403.42654;447.23121;42489562.03988;1.55481
2034;3507820.25124;449.72055;42686187.83537;1.58693
2035;3526979.70418;452.17689;42886755.06527;1.61845
2036;3545872.26079;454.59901;43087850.10713;1.64937
2037;3564486.37406;456.98543;43302844.97374;1.67966
2038;3582810.10446;459.33463;43518377.61575;1.70933
2039;3600832.25452;461.64516;43740948.49127;1.73835
2040;3618541.19102;463.91554;43964282.07904;1.76674
2041;3635925.44843;466.14429;44191227.56829;1.79446
2042;3652970.78002;468.32959;44433389.41885;1.82151
2043;3669665.80828;470.46998;44684817.05475;1.84789
2044;3685990.29294;472.56286;44938903.36361;1.87356
2045;3701933.60519;474.60687;45193038.76645;1.89852
2046;3717481.85872;476.60024;45454596.89860;1.92276
2047;3732617.14707;478.54066;45738062.78244;1.94625
2048;3747321.62220;480.42585;46026952.72564;1.96899
2049;3761580.12549;482.25386;46319477.58621;1.99094
2050;3775377.59762;484.02277;46615138.76328;2.01211
2051;3788699.55069;485.73071;46909494.63511;2.03247
2052;3801528.43575;487.37544;47224345.93616;2.05202
2053;3813845.31605;488.95453;47545364.29456;2.07071
2054;3825586.10560;490.45976;47864912.88963;2.08848
2055;3836758.66042;491.89214;48186028.12828;2.10533
2056;3847345.69703;493.24945;48516009.57216;2.12126
2057;3857327.61030;494.52918;48862593.22851;2.13623
2058;3866685.45373;495.72890;49215288.70813;2.15023
2059;3875384.53120;496.84417;49559939.95612;2.16321
2060;3883420.16587;497.87438;49910769.33122;2.17518
2061;3890776.04357;498.81744;50268318.44280;2.18611
2062;3897434.11096;499.67104;50646806.62211;2.19598
2063;3903377.42546;500.43300;51030337.81446;2.20478
2064;3908594.90775;501.10191;51405188.64488;2.21250
2065;3913077.09183;501.67655;51782239.88287;2.21911
2066;3916813.96371;502.15564;52161764.92875;2.22462
2067;3919792.06670;502.53744;52573253.31627;2.22901
2068;3921999.63672;502.82047;52986803.55076;2.23226
2069;3923432.58900;503.00418;53396678.01188;2.23437
2070;3924087.65250;503.08816;53815547.58230;2.23533
2071;3923964.57902;503.07238;54225186.31965;2.23515
2072;3923059.56262;502.95635;54679350.24993;2.23382
2073;3921370.43841;502.73980;55128063.72329;2.23134
2074;3918906.34074;502.42389;55568775.77865;2.22771
2075;3915676.75997;502.00984;56017022.12311;2.22296
2076;3911694.81314;501.49934;56451561.90343;2.21709
2077;3907043.49704;500.90301;56934982.90733;2.21022
2078;3901616.20866;500.20721;57410940.22492;2.20221
2079;3895474.11696;499.41976;57888079.99684;2.19312
2080;3888549.60020;498.53200;58362949.61436;2.18287
2081;3881017.72007;497.56637;58797544.03127;2.17169
2082;3873070.99382;496.54756;59321439.82575;2.15987
2083;3864476.63185;495.44572;59830570.21143;2.14707
2084;3855259.57079;494.26405;60335201.00782;2.13330
2085;3845482.25455;493.01055;60833167.79828;2.11867
2086;3835255.02730;491.69936;61260773.96532;2.10332
2087;3824661.62240;490.34123;61803619.17289;2.08738
2088;3813551.22057;488.91682;62331671.30777;2.07062
2089;3801945.66542;487.42893;62850162.08314;2.05306
2090;3789893.11739;485.88373;63364405.79574;2.03476
2091;3777468.64973;484.29085;63867453.57199;2.01584
2092;3764783.96918;482.66461;64427677.06445;1.99646
2093;3751709.37665;480.98838;64964844.51505;1.97642
2094;3738256.13988;479.26361;65506323.33095;1.95573
2095;3724409.89788;477.48845;66023262.03608;1.93436
2096;3710241.74246;475.67202;66526610.94726;1.91240
2097;3695746.89011;473.81370;67097220.91299;1.88986
2098;3680873.83081;471.90690;67636781.17716;1.86663
2099;3665640.42020;469.95390;68180877.70253;1.84275
2100;3650080.29523;467.95901;68699746.64963;1.81826
2101;3634246.81208;465.92908;69198728.89172;1.79322
