Year;BRA;COD;AGO;TZA;MOZ;MMR
0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;-18027.00000;-11013.80000;-5550.70000;-4690.00000;-3117.10000;-2897.10000
2;-37932.00000;-22027.50000;-11101.20000;-9380.00000;-5334.00000;-5794.20000
3;-48334.00000;-33041.30000;-16651.80000;-14070.00000;-7158.32000;-8691.30000
4;-60863.00000;-44055.10000;-22202.50000;-18760.00000;-9738.90000;-11588.40000
5;-72652.00000;-55068.80000;-27753.10000;-23450.00000;-11962.40000;-14485.50000
6;-85349.75000;-52074.00424;-26020.19544;-28140.00000;-14280.71000;-17382.60000
7;-98047.50000;-49019.83604;-24251.70597;-32830.00000;-16599.02000;-20279.70000
8;-110745.25000;-45861.90925;-22424.41141;-37520.00000;-18917.33000;-23176.80000
9;-123443.00000;-42619.59692;-20548.28822;-42210.00000;-21235.64000;-26073.90000
10;-136140.75000;-39290.96296;-18622.21610;-46900.00000;-23553.95000;-28971.00000
11;-148838.50000;-35874.04639;-16645.06037;-51590.00000;-25872.26000;-31868.10000
12;-136579.36629;-32366.86225;-14615.67244;-56280.00000;-28190.57000;-34765.20000
13;-136798.67444;-28767.40277;-12532.89055;-60970.00000;-30508.88000;-37662.30000
14;-137017.98258;-25073.63856;-10395.54042;-65660.00000;-32827.19000;-40559.40000
15;-137237.29073;-21283.52001;-8202.43605;-70350.00000;-35145.50000;-43456.50000
16;-137456.59888;-17394.97870;-5952.38060;-75040.00000;-37463.81000;-46353.60000
17;-137675.90702;-13405.92911;-3644.16730;-79730.00000;-39782.12000;-49250.70000
18;-137895.21517;-9314.27032;-1276.58048;-84420.00000;-42100.43000;-52147.80000
19;-138114.52331;-5117.88798;1151.60330;-89110.00000;-44418.74000;-55044.90000
20;-138333.83146;-814.65639;3641.61406;-93800.00000;-46737.05000;-57942.00000
21;-138553.13961;3597.55927;6194.68708;-98490.00000;-49055.36000;-60839.10000
22;-138772.44775;8120.90046;8812.06148;-96092.05284;-51373.67000;-63736.20000
23;-138991.75590;12757.51270;11494.97876;-97238.07926;-53691.98000;-66633.30000
24;-139211.06404;17509.54275;14244.68109;-98384.10569;-56010.29000;-69530.40000
25;-139430.37219;22379.13556;17062.40963;-99530.13211;-58328.60000;-72427.50000
26;-139649.68033;27368.43108;19813.34566;-100676.15853;-60646.91000;-75324.60000
27;-139868.98848;32479.56078;22564.28169;-101822.18495;-62965.22000;-78221.70000
28;-140088.29663;37714.64401;25315.21771;-102968.21137;-65283.53000;-81118.80000
29;-140307.60477;43075.78408;28066.15374;-104114.23779;-67601.84000;-84015.90000
30;-140526.91292;48565.06406;30817.08976;-105260.26422;-69920.15000;-86913.00000
31;-140746.22106;54184.54244;33568.02579;-106406.29064;-72238.46000;-89810.10000
