Year;BRA;COD;AGO;TZA;MOZ;MMR
0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;-18027.00000;-11013.80000;-5550.70000;-4690.00000;-3117.10000;-2897.10000
2;-37932.00000;-22027.50000;-11101.20000;-9380.00000;-5334.00000;-5794.20000
3;-48334.00000;-33041.30000;-16651.80000;-14070.00000;-7158.32000;-8691.30000
4;-60863.00000;-44055.10000;-22202.50000;-18760.00000;-9738.90000;-11588.40000
5;-72652.00000;-55068.80000;-27753.10000;-23450.00000;-11962.40000;-14485.50000
6;-62613.72802;-52074.00424;-26020.19544;-22180.79861;-10714.40240;-17382.60000
7;-52340.22827;-49019.83604;-24251.70597;-20886.46847;-9438.26644;-20279.70000
8;-41755.27180;-45861.90925;-22424.41141;-19548.13166;-8122.29935;-23176.80000
9;-30887.46604;-42619.59692;-20548.28822;-18174.03207;-6771.16721;-26073.90000
10;-19730.32154;-39290.96296;-18622.21610;-16763.34917;-5384.06325;-28971.00000
11;-8277.26527;-35874.04639;-16645.06037;-15315.25188;-4141.58048;-31868.10000
12;3478.35604;-32366.86225;-14615.67244;-13828.89899;-2679.42147;-34765.20000
13;15543.27220;-28767.40277;-12532.89055;-12303.43959;-1327.10059;-37662.30000
14;27924.28541;-25073.63856;-10395.54042;-10839.26961;25.22030;-40559.40000
15;40628.26579;-21283.52001;-8202.43605;-9232.61210;1377.54119;-43456.50000
16;53662.14631;-17394.97870;-5952.38060;-7697.19835;2729.86208;-46353.60000
17;67032.91743;-13405.92911;-3644.16730;-6161.78461;4082.18297;-49250.70000
18;80747.62112;-9314.27032;-1276.58048;-4626.37086;5434.50386;-52147.80000
19;94813.34440;-5117.88798;1151.60330;-3090.95711;6786.82475;-55044.90000
20;109237.21238;-814.65639;3641.61406;-1555.54337;8139.14564;-57942.00000
21;124026.38064;3597.55927;6194.68708;-20.12962;9491.46652;-60839.10000
22;138457.02763;8120.90046;8812.06148;1515.28412;10843.78741;-63736.20000
23;152887.67462;12757.51270;11494.97876;3050.69787;12196.10830;-61697.70201
24;167318.32161;17509.54275;14244.68109;4586.11162;13548.42919;-62127.00301
25;181748.96860;22379.13556;17062.40963;6121.52536;14900.75008;-62556.30401
26;196179.61559;27368.43108;19949.40264;7656.93911;16253.07097;-62985.60501
27;210610.26258;32479.56078;22906.89346;9192.35286;17605.39186;-60695.44654
28;225040.90957;37714.64401;25936.10844;10727.76660;18957.71274;-59765.01781
29;239471.55656;43075.78408;29038.26461;12263.18035;20310.03363;-58834.58908
30;253902.20355;48565.06406;32214.56733;13798.59410;21662.35452;-57904.16034
31;268332.85054;54184.54244;35466.20771;15334.00784;23014.67541;-56973.73161
32;282763.49753;59936.24842;38794.35993;16869.42159;24366.99630;-56043.30288
33;297194.14452;65822.17697;42200.17835;18404.83534;25719.31719;-55112.87415
