Metric Name;Metric Value
T15Year;2031
T15CO2;443.01596
T15ForestSize;42750976.40877
T20Year;2049
T20CO2;483.01152
T20ForestSize;48294185.79947
ForestSize2050;48776526.47345
CO2Concentration2050;485.22503
Temperature2050;2.02644
ForestSize2100;76233533.12846
CO2Concentration2100;463.88356
Temperature2100;1.76782
