Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240429.91545;415.43973;40459324.63596;1.12797
2022;3260386.87775;417.99832;40551518.83635;1.16351
2023;3282002.51029;420.76955;40655018.33258;1.20177
2024;3303437.03275;423.51757;40759023.76267;1.23946
2025;3324682.95282;426.24140;40864845.33206;1.27657
2026;3345732.99771;428.94013;40971210.41240;1.31311
2027;3366577.78568;431.61254;41088013.55172;1.34907
2028;3387207.45682;434.25737;41206048.29182;1.38443
2029;3407613.36790;436.87351;41330674.07075;1.41919
2030;3427783.76481;439.45946;41457962.55472;1.45335
2031;3447709.50882;442.01404;41585377.39785;1.48690
2032;3467387.71668;444.53689;41750316.57737;1.51984
2033;3486784.79001;447.02369;41902231.59565;1.55212
2034;3505897.98872;449.47410;42059459.71235;1.58375
2035;3524714.90474;451.88653;42219884.26932;1.61473
2036;3543223.56585;454.25943;42380017.97359;1.64503
2037;3561409.85532;456.59101;42553340.40001;1.67465
2038;3579274.18428;458.88131;42742715.67579;1.70360
2039;3596773.73230;461.12484;42930082.96462;1.73181
2040;3613904.57349;463.32110;43117480.39430;1.75930
2041;3630652.15058;465.46822;43307813.64434;1.78604
2042;3646999.00663;467.56398;43512607.15407;1.81202
2043;3662927.10559;469.60604;43720706.20355;1.83723
2044;3678419.55254;471.59225;43933277.11441;1.86163
2045;3693459.62165;473.52046;44145101.88434;1.88523
2046;3708029.77316;475.38843;44363541.37376;1.90799
2047;3722109.69656;477.19355;44594851.93903;1.92991
2048;3735679.05590;478.93321;44830671.29495;1.95094
2049;3748718.77017;480.60497;45069196.96460;1.97109
2050;3761209.77637;482.20638;45309917.31857;1.99032
2051;3773122.40286;483.73364;45548376.15477;2.00859
2052;3784440.11397;485.18463;45806104.30797;2.02590
2053;3795139.65111;486.55637;46068758.35663;2.04222
2054;3805201.09966;487.84629;46329648.53942;2.05752
2055;3814605.19392;489.05195;46591327.88122;2.07178
2056;3823331.05724;490.17065;46861087.94947;2.08498
2057;3831355.41971;491.19941;47147286.17893;2.09709
2058;3838655.70867;492.13535;47438893.23061;2.10809
2059;3845205.32080;492.97504;47721669.55645;2.11793
2060;3850991.22452;493.71682;48007422.71202;2.12662
2061;3855994.31122;494.35825;48300085.04101;2.13412
2062;3860193.23382;494.89657;48614464.69411;2.14040
2063;3863565.90098;495.32896;48932981.12403;2.14544
2064;3866099.86431;495.65383;49241978.47391;2.14923
2065;3867784.20980;495.86977;49547741.84230;2.15174
2066;3868607.81477;495.97536;49854894.95547;2.15297
2067;3868554.87635;495.96857;50198115.77090;2.15289
2068;3867611.61785;495.84764;50542559.58623;2.15148
2069;3865773.32399;495.61196;50881562.60866;2.14874
2070;3863036.55272;495.26110;51228665.61208;2.14465
2071;3859401.99166;494.79513;51561002.04157;2.13923
2072;3854867.89728;494.21383;51933285.04165;2.13245
2073;3849433.14938;493.51707;52304080.71526;2.12431
2074;3843106.92277;492.70602;52665610.56222;2.11483
2075;3835901.90472;491.78230;53032493.38940;2.10401
2076;3827837.67651;490.74842;53400183.18561;2.09187
2077;3819003.97740;489.61589;53809351.14069;2.07856
2078;3809270.40051;488.36800;54210044.11449;2.06385
2079;3798715.91424;487.01486;54611010.63643;2.04786
2080;3787371.12941;485.56040;55006269.75892;2.03063
2081;3775319.75921;484.01535;55380767.90187;2.01226
2082;3762823.48181;482.41327;55828166.60054;1.99316
2083;3749530.62260;480.70905;56257497.71191;1.97278
2084;3735510.99160;478.91167;56683647.36327;1.95120
2085;3720846.85141;477.03165;57096927.47137;1.92854
2086;3705679.14522;475.08707;57441115.43270;1.90502
2087;3690206.11490;473.10335;57908809.59036;1.88092
2088;3674192.77838;471.05036;58351605.46770;1.85588
2089;3657659.84779;468.93075;58787519.99757;1.82992
2090;3640658.27464;466.75106;59211790.06322;1.80309
2091;3623263.94986;464.52102;59634598.51926;1.77552
2092;3605614.60510;462.25828;60117482.30269;1.74741
2093;3587558.25729;459.94337;60573146.46217;1.71851
2094;3569051.64284;457.57072;61027331.92526;1.68874
2095;3550156.74044;455.14830;61477107.02767;1.65819
2096;3530931.04845;452.68347;61929985.00968;1.62694
2097;3511431.49212;450.18352;62414617.86944;1.59507
2098;3491572.54780;447.63751;62866276.01694;1.56243
2099;3471370.19552;445.04746;63323393.76148;1.52904
2100;3450853.88622;442.41716;63774600.50439;1.49494
2101;3430068.39926;439.75236;64229312.51974;1.46018
