Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240479.27985;415.44606;40483359.58113;1.12806
2022;3260480.61266;418.01033;40599910.93234;1.16368
2023;3282178.74465;420.79215;40720495.52470;1.20208
2024;3303723.67197;423.55432;40843936.54259;1.23996
2025;3325109.44686;426.29608;40970510.75447;1.27732
2026;3346330.18025;429.01669;41098022.12203;1.31415
2027;3367378.44543;431.71519;41236374.04400;1.35045
2028;3388246.41912;434.39057;41376369.01467;1.38621
2029;3408915.83111;437.04049;41520040.15132;1.42141
2030;3429384.14425;439.66463;41667589.00540;1.45606
2031;3449643.28962;442.26196;41817764.22360;1.49015
2032;3469684.19838;444.83131;41975849.64490;1.52368
2033;3489497.78910;447.37151;42134532.88658;1.55664
2034;3509075.04887;449.88142;42298565.39057;1.58901
2035;3528405.98830;452.35974;42466898.12090;1.62080
2036;3547481.21664;454.80528;42634685.63837;1.65200
2037;3566289.62130;457.21662;42814916.49337;1.68260
2038;3584819.64442;459.59226;42994937.38168;1.71258
2039;3603060.35643;461.93081;43181234.58999;1.74194
2040;3620999.91757;464.23076;43370431.42850;1.77068
2041;3638626.81969;466.49062;43561487.96542;1.79877
2042;3655927.50715;468.70865;43765458.87503;1.82621
2043;3672887.77463;470.88305;43972828.61938;1.85298
2044;3689494.32390;473.01209;44185273.18607;1.87907
2045;3705734.12138;475.09412;44397201.14040;1.90447
2046;3721593.41499;477.12736;44616463.01585;1.92917
2047;3737056.02341;479.10975;44847417.51521;1.95315
2048;3752105.94546;481.03922;45082981.46524;1.97639
2049;3766727.98175;482.91384;45323399.85734;1.99888
2050;3780907.15700;484.73169;45565385.11486;2.02060
2051;3794628.84535;486.49088;45808640.58743;2.04154
2052;3807874.06653;488.18898;46078669.24615;2.06169
2053;3820622.98633;489.82346;46354206.07534;2.08101
2054;3832860.15884;491.39233;46629358.18875;2.09949
2055;3844570.98047;492.89372;46904777.93928;2.11712
2056;3855739.35288;494.32556;47188886.34692;2.13389
2057;3866347.07724;495.68552;47486907.66444;2.14976
2058;3876376.60812;496.97136;47790817.00388;2.16473
2059;3885813.38032;498.18120;48092389.09552;2.17878
2060;3894643.58867;499.31328;48397690.69161;2.19189
2061;3902852.44886;500.36570;48709712.02417;2.20406
2062;3910423.59818;501.33636;49038907.25619;2.21525
2063;3917341.52412;502.22327;49374327.48152;2.22546
2064;3923595.86839;503.02511;49701120.76155;2.23467
2065;3929178.01547;503.74077;50029965.00585;2.24289
2066;3934078.78263;504.36907;50360827.33222;2.25008
2067;3938285.82289;504.90844;50721107.50146;2.25625
2068;3941787.89838;505.35742;51085749.13197;2.26139
2069;3944581.11030;505.71553;51445359.46678;2.26547
2070;3946662.67326;505.98239;51813508.43185;2.26852
2071;3948032.56033;506.15802;52171652.45346;2.27052
2072;3948689.03874;506.24218;52561536.30951;2.27148
2073;3948630.33362;506.23466;52954264.24262;2.27140
2074;3947863.98731;506.13641;53336988.02629;2.27028
2075;3946399.16038;505.94861;53726655.92996;2.26814
2076;3944248.19469;505.67285;54102035.63792;2.26499
2077;3941487.78554;505.31895;54522183.06968;2.26095
2078;3938019.09366;504.87424;54940078.49642;2.25587
2079;3933898.03821;504.34590;55356606.67759;2.24983
2080;3929146.15913;503.73669;55770884.31705;2.24286
2081;3923883.41510;503.06198;56144630.06008;2.23513
2082;3918284.30522;502.34414;56590828.91151;2.22690
2083;3912057.49254;501.54583;57029220.88835;2.21773
2084;3905265.78431;500.67510;57461376.09759;2.20771
2085;3897967.49635;499.73942;57886266.20177;2.19693
2086;3890263.37246;498.75171;58254545.85167;2.18552
2087;3882302.22177;497.73105;58719619.72561;2.17371
2088;3873909.92391;496.65512;59176045.24936;2.16124
2089;3865100.45601;495.52570;59620732.26373;2.14811
2090;3855864.41507;494.34159;60063878.85169;2.13432
2091;3846282.50215;493.11314;60494120.19460;2.11998
2092;3836430.50272;491.85006;60996497.97068;2.10520
2093;3826200.87280;490.53857;61481946.45062;2.08981
2094;3815571.30580;489.17581;61963316.97427;2.07378
2095;3804592.02425;487.76821;62426450.02812;2.05718
2096;3793317.19978;486.32272;62873076.60607;2.04007
2097;3781817.40048;484.84838;63361457.69493;2.02258
2098;3770003.96304;483.33384;63850110.23106;2.00455
2099;3757883.68667;481.77996;64338847.80966;1.98600
2100;3745481.05141;480.18988;64800320.92287;1.96695
2101;3732836.39737;478.56877;65241907.33107;1.94747
