Metric Name;Metric Value
T15Year;2031
T15CO2;443.01614
T15ForestSize;42698341.88230
T20Year;2050
T20CO2;483.01410
T20ForestSize;48225962.49931
ForestSize2050;48518929.95599
CO2Concentration2050;484.33878
Temperature2050;2.01584
ForestSize2100;76279347.31563
CO2Concentration2100;453.71895
Temperature2100;1.64020
