Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240576.46435;415.45852;40613195.31055;1.12823
2022;3260638.38117;418.03056;40862314.84025;1.16396
2023;3282459.44181;420.82813;41118633.73933;1.20258
2024;3304159.52670;423.61020;41380880.23461;1.24073
2025;3325735.97996;426.37641;41649401.55685;1.27841
2026;3347186.40177;429.12646;41922073.03754;1.31563
2027;3368507.06068;431.85988;42208870.31647;1.35239
2028;3389694.04330;434.57616;42500668.95998;1.38869
2029;3410744.39458;437.27492;42800548.33072;1.42453
2030;3431654.65777;439.95573;43108208.30312;1.45991
2031;3452418.54197;442.61776;43419947.41386;1.49482
2032;3473033.60743;445.26072;43746108.43377;1.52928
2033;3493495.61814;447.88405;44076987.59732;1.56328
2034;3513801.09040;450.48732;44417421.24927;1.59683
2035;3533946.02218;453.07000;44765378.82446;1.62991
2036;3553927.28590;455.63170;45117250.63800;1.66254
2037;3573739.98776;458.17179;45487021.70840;1.69471
2038;3593378.20814;460.68951;45861118.19774;1.72642
2039;3612838.42690;463.18441;46246119.00334;1.75767
2040;3632116.55124;465.65597;46635953.00313;1.78847
2041;3651209.01777;468.10372;47033121.88853;1.81880
2042;3670109.71348;470.52689;47450222.75559;1.84868
2043;3688812.29335;472.92465;47875693.37865;1.87808
2044;3707312.05741;475.29642;48310786.01110;1.90702
2045;3725604.92787;477.64166;48750122.44952;1.93550
2046;3743686.53994;479.95981;49200490.87295;1.96351
2047;3761550.16027;482.25002;49669141.77549;1.99104
2048;3779189.17990;484.51143;50147766.80241;2.01810
2049;3796598.60194;486.74341;50634636.68385;2.04469
2050;3813773.82999;488.94536;51128803.69564;2.07079
2051;3830710.88967;491.11678;51627223.78052;2.09642
2052;3847402.73312;493.25676;52151416.40761;2.12157
2053;3863841.15569;495.36425;52686728.24469;2.14622
2054;3880021.47346;497.43865;53226413.08045;2.17039
2055;3895939.81212;499.47946;53772295.72566;2.19407
2056;3911590.73185;501.48599;54332092.35273;2.21725
2057;3926965.95642;503.45717;54915415.30226;2.23993
2058;3942057.57224;505.39200;55510664.54530;2.26211
2059;3956861.98351;507.29000;56103574.68650;2.28378
2060;3971376.00848;509.15077;56706315.18682;2.30495
2061;3985593.90590;510.97358;57322727.85952;2.32561
2062;3999506.89728;512.75729;57968028.05766;2.34575
2063;4013106.74498;514.50086;58624479.54509;2.36538
2064;4026390.64274;516.20393;59277751.20011;2.38448
2065;4039357.20315;517.86631;59934632.60791;2.40306
2066;4052003.29991;519.48760;60600004.35100;2.42113
2067;4064319.41391;521.06659;61309071.43757;2.43867
2068;4076296.31021;522.60209;62026330.34909;2.45568
2069;4087932.13534;524.09386;62744178.04879;2.47215
2070;4099219.67205;525.54098;63476619.47027;2.48808
2071;4110160.43301;526.94365;64200253.50628;2.50349
2072;4120748.36608;528.30107;64972618.25911;2.51835
2073;4130975.68936;529.61227;65748769.19300;2.53267
2074;4140843.88383;530.87742;66519816.98591;2.54646
2075;4150353.33711;532.09658;67303630.95990;2.55971
2076;4159505.88449;533.26999;68075918.74572;2.57244
2077;4168306.76531;534.39830;68909608.69818;2.58465
2078;4176731.83378;535.47844;69739696.22186;2.59631
2079;4184790.88634;536.51165;70569998.44064;2.60745
2080;4192449.95640;537.49358;71402499.58077;2.61801
2081;4199752.43214;538.42980;72194951.30039;2.62806
2082;4206724.56820;539.32366;73085485.20718;2.63764
2083;4213306.77441;540.16754;73964200.85719;2.64667
2084;4219509.73120;540.96279;74838855.73713;2.65517
2085;4225346.38017;541.71107;75707697.20346;2.66315
2086;4230846.09387;542.41617;76513230.94155;2.67066
2087;4236028.85802;543.08062;77453388.24824;2.67773
2088;4240844.40091;543.69800;78372727.03415;2.68429
2089;4245300.23539;544.26926;79280999.37338;2.69035
2090;4249405.98767;544.79564;80182450.04149;2.69593
2091;4253174.30855;545.27876;81080381.99966;2.70105
2092;4256617.61582;545.72021;82057697.42886;2.70572
2093;4259705.07907;546.11604;83008624.27440;2.70991
2094;4262441.75884;546.46689;83963255.65440;2.71362
2095;4264789.57761;546.76789;84891615.72921;2.71680
2096;4266784.24294;547.02362;85809856.46976;2.71949
2097;4268396.47016;547.23032;86809106.53878;2.72167
2098;4269618.17216;547.38695;87772914.36044;2.72333
2099;4270460.28794;547.49491;88739389.11858;2.72446
2100;4270939.35475;547.55633;89667955.58493;2.72511
2101;4271079.57990;547.57431;90581752.13439;2.72530
