Metric Name;Metric Value
T15Year;2031
T15CO2;443.01547
T15ForestSize;42447127.35312
T20Year;2049
T20CO2;483.01221
T20ForestSize;47350850.50444
ForestSize2050;47794850.52230
CO2Concentration2050;485.31850
Temperature2050;2.02755
ForestSize2100;73032939.34444
CO2Concentration2100;465.31520
Temperature2100;1.78560
