Year;BRA;COD;AGO;TZA;MOZ;MMR
0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;-18027.00000;-11013.80000;-5550.70000;-4690.00000;-3117.10000;-2897.10000
2;-37932.00000;-22027.50000;-11101.20000;-9380.00000;-5334.00000;-5794.20000
3;-48334.00000;-33041.30000;-16651.80000;-14070.00000;-7158.32000;-8691.30000
4;-60863.00000;-44055.10000;-22202.50000;-18760.00000;-9738.90000;-11588.40000
5;-72652.00000;-55068.80000;-27753.10000;-23450.00000;-11962.40000;-14485.50000
6;-85349.75000;-52074.00424;-26020.19544;-22180.79861;-10714.40240;-17382.60000
7;-98047.50000;-49019.83604;-24251.70597;-20886.46847;-9438.26644;-20279.70000
8;-110745.25000;-45861.90925;-22424.41141;-19548.13166;-8122.29935;-23176.80000
9;-123443.00000;-42619.59692;-20548.28822;-18174.03207;-6771.16721;-26073.90000
10;-136140.75000;-39290.96296;-18622.21610;-16763.34917;-5384.06325;-28971.00000
11;-148838.50000;-35874.04639;-16645.06037;-15315.25188;-4141.58048;-31868.10000
12;-161536.25000;-32366.86225;-14615.67244;-13828.89899;-2679.42147;-34765.20000
13;-174234.00000;-28767.40277;-12532.89055;-12303.43959;-1327.10059;-37662.30000
14;-186931.75000;-25073.63856;-10395.54042;-10839.26961;25.22030;-40559.40000
15;-199629.50000;-21283.52001;-8202.43605;-9232.61210;1377.54119;-43456.50000
16;-212327.25000;-17394.97870;-5952.38060;-7697.19835;2729.86208;-46353.60000
17;-225025.00000;-13405.92911;-3644.16730;-6161.78461;4082.18297;-49250.70000
18;-237722.75000;-9314.27032;-1276.58048;-4626.37086;5434.50386;-52147.80000
19;-250420.50000;-5117.88798;1151.60330;-3090.95711;6786.82475;-55044.90000
20;-263118.25000;-814.65639;3641.61406;-1555.54337;8139.14564;-57942.00000
21;-275816.00000;3597.55927;6194.68708;-20.12962;9491.46652;-60839.10000
22;-288513.75000;8120.90046;8812.06148;1903.77183;10843.78741;-63736.20000
23;-301211.50000;12757.51270;11494.97876;3633.42943;12196.10830;-61697.70201
24;-313909.25000;17509.54275;14244.68109;5363.08703;13548.42919;-62127.00301
25;-326607.00000;22379.13556;17062.40963;7092.74463;14900.75008;-62556.30401
26;-339304.75000;27368.43108;19949.40264;8822.40223;16253.07097;-62985.60501
27;-352002.50000;32479.56078;22906.89346;10552.05983;17605.39186;-60695.44654
28;-364700.25000;37714.64401;25936.10844;12281.71742;18957.71274;-59765.01781
29;-377398.00000;43075.78408;29038.26461;14011.37502;20310.03363;-58834.58908
30;-390095.75000;48565.06406;32214.56733;15741.03262;21662.35452;-57904.16034
31;-402793.50000;54184.54244;35466.20771;17470.69022;23014.67541;-56973.73161
32;-415491.25000;59936.24842;38794.35993;19200.34782;24366.99630;-56043.30288
