Year;BRA;COD;AGO;TZA;MOZ;MMR
74;658107.80568;193373.62329;-210300.00163;-347060.00000;-171925.79000;-214385.40000
75;670218.34356;198420.20756;-207291.58654;-351750.00000;-174244.10000;-217282.50000
76;682328.88144;203466.79183;-204283.17145;-356440.00000;-176562.41000;-220179.60000
77;694439.41932;209502.31922;-201274.75635;-361130.00000;-178880.72000;-223076.70000
78;706549.95720;215043.37505;-198266.34126;-365820.00000;-181199.03000;-225973.80000
79;718660.49508;220584.43088;-195257.92616;-370510.00000;-183517.34000;-228870.90000
80;730771.03296;226125.48671;-192249.51107;-375200.00000;-185835.65000;-231768.00000
81;742881.57084;231666.54254;-189241.09598;-379890.00000;-188153.96000;-234665.10000
82;754992.10872;237207.59836;-186232.68088;-384580.00000;-190472.27000;-237562.20000
83;767102.64660;242748.65419;-183224.26579;-389270.00000;-192790.58000;-240459.30000
84;779213.18448;248289.71002;-180215.85069;-393960.00000;-195108.89000;-243356.40000
85;791323.72236;253830.76585;-177207.43560;-398650.00000;-197427.20000;-246253.50000
86;803434.26024;259371.82168;-174199.02051;-403340.00000;-199745.51000;-249150.60000
