Year;BRA;COD;AGO;TZA;MOZ;MMR
0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;-18027.00000;-11013.80000;-5550.70000;-4690.00000;-3117.10000;-2897.10000
2;-37932.00000;-22027.50000;-11101.20000;-9380.00000;-5334.00000;-5794.20000
3;-48334.00000;-33041.30000;-16651.80000;-14070.00000;-7158.32000;-8691.30000
4;-60863.00000;-44055.10000;-22202.50000;-18760.00000;-9738.90000;-11588.40000
5;-72652.00000;-55068.80000;-27753.10000;-23450.00000;-11962.40000;-14485.50000
6;-62613.72802;-52074.00424;-33303.72500;-28140.00000;-10714.40240;-17382.60000
7;-52340.22827;-49019.83604;-38854.35000;-32830.00000;-9438.26644;-20279.70000
8;-41755.27180;-45861.90925;-44404.97500;-37520.00000;-8122.29935;-23176.80000
9;-30887.46604;-42619.59692;-49955.60000;-42210.00000;-6771.16721;-26073.90000
10;-19730.32154;-39290.96296;-55506.22500;-46900.00000;-5384.06325;-28971.00000
11;-8277.26527;-35874.04639;-53400.79324;-51590.00000;-3960.17027;-31868.10000
12;3478.35604;-32366.86225;-55123.38985;-56280.00000;-2498.66111;-34765.20000
13;15543.27220;-28767.40277;-56845.98647;-54597.91210;-998.69909;-37662.30000
14;27924.28541;-25073.63856;-54540.23283;-52871.75403;540.56147;-40559.40000
15;40628.26579;-21283.52001;-54248.65432;-51100.56794;2119.97469;-43456.50000
16;53662.14631;-17394.97870;-53957.07580;-50159.42439;3740.40251;-46353.60000
17;67032.91743;-13405.92911;-53665.49729;-49218.28084;5402.71401;-49250.70000
18;80747.62112;-9314.27032;-53373.91878;-48277.13729;7107.78468;-52147.80000
19;94813.34440;-5117.88798;-53082.34027;-47335.99374;8856.49561;-55044.90000
20;109237.21238;-814.65639;-52790.76175;-46394.85019;10649.73262;-57942.00000
21;124026.38064;3597.55927;-52499.18324;-45453.70664;12488.38532;-60839.10000
22;139188.02714;8120.90046;-52207.60473;-44512.56309;14373.34611;-63736.20000
23;154729.34335;12757.51270;-51916.02621;-43571.41955;16305.50907;-66633.30000
24;170657.52490;17509.54275;-51624.44770;-42630.27600;18285.76878;-69530.40000
25;186979.76141;22379.13556;-51332.86919;-41689.13245;20315.01909;-72427.50000
26;203703.22569;27368.43108;-51041.29068;-40747.98890;22394.15176;-75324.60000
27;220835.06218;32479.56078;-50749.71216;-39806.84535;24524.05500;-78221.70000
28;238382.37466;37714.64401;-50458.13365;-38865.70180;26705.61200;-81118.80000
29;256352.21310;43075.78408;-50166.55514;-37924.55825;28939.69924;-84015.90000
30;274751.55975;48565.06406;-49874.97663;-36983.41470;31227.18477;-86913.00000
31;293587.31436;54184.54244;-49583.39811;-36042.27115;33568.92641;-89810.10000
32;312866.27853;59936.24842;-49291.81960;-35101.12760;35965.76976;-92707.20000
