Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240436.24429;415.44054;40456901.75252;1.12798
2022;3260400.96975;418.00012;40546527.86175;1.16354
2023;3282030.47374;420.77314;40638968.61383;1.20182
2024;3303486.10112;423.52386;40733698.21982;1.23955
2025;3324760.47464;426.25134;40830691.18393;1.27671
2026;3345846.20075;428.95464;40927990.73163;1.31331
2027;3366734.22214;431.63259;41035486.08387;1.34934
2028;3387414.99722;434.28397;41143965.39410;1.38478
2029;3407879.62823;436.90764;41256419.67153;1.41965
2030;3428118.38915;439.50236;41372459.55550;1.45392
2031;3448121.81972;442.06690;41488361.65781;1.48759
2032;3467878.96418;444.59987;41614345.26295;1.52066
2033;3487378.35592;447.09979;41740615.87859;1.55311
2034;3506608.91271;449.56525;41871918.54213;1.58493
2035;3525558.65601;451.99470;42006130.89062;1.61612
2036;3544216.06014;454.38667;42139759.90180;1.64665
2037;3562567.47225;456.73942;42286279.40337;1.67654
2038;3580598.74081;459.05112;42432246.05494;1.70574
2039;3598296.36915;461.32005;42584139.64475;1.73427
2040;3615646.30476;463.54440;42735796.54962;1.76209
2041;3632634.53047;465.72238;42890117.59215;1.78921
2042;3649245.21871;467.85195;43066223.12366;1.81559
2043;3665444.08945;469.92873;43240214.41227;1.84121
2044;3681222.81885;471.95164;43417699.18382;1.86605
2045;3696567.25238;473.91888;43597391.54101;1.89011
2046;3711455.97509;475.82769;43780596.95304;1.91335
2047;3725870.94050;477.67576;43975586.79005;1.93576
2048;3739792.38074;479.46056;44173982.37205;1.95732
2049;3753201.79290;481.17972;44373965.15140;1.97802
2050;3766080.70146;482.83086;44575007.79719;1.99782
2051;3778411.02962;484.41167;44773313.50419;2.01671
2052;3790171.57514;485.91943;44990070.01035;2.03467
2053;3801339.80829;487.35126;45210923.84737;2.05168
2054;3811896.54943;488.70469;45429175.61068;2.06771
2055;3821823.27183;489.97734;45647369.12583;2.08273
2056;3831099.83934;491.16665;45872787.24713;2.09674
2057;3839703.72143;492.26971;46113779.22644;2.10970
2058;3847613.08063;493.28373;46359308.11798;2.12159
2059;3854810.58881;494.20649;46595415.22398;2.13238
2060;3861281.47335;495.03609;46846855.68589;2.14207
2061;3867000.48014;495.76929;47097913.90338;2.15062
2062;3871949.32594;496.40376;47374391.73313;2.15800
2063;3876108.47404;496.93698;47652171.89397;2.16420
2064;3879465.42903;497.36736;47919750.79136;2.16920
2065;3882009.91538;497.69358;48183411.90768;2.17298
2066;3883731.39735;497.91428;48447778.11379;2.17554
2067;3884614.60058;498.02751;48747527.31857;2.17686
2068;3884646.21163;498.03157;49047815.62492;2.17690
2069;3883821.93513;497.92589;49341805.43946;2.17568
2070;3882105.85096;497.70588;49640826.54710;2.17313
2071;3879515.36798;497.37377;49927674.41506;2.16928
2072;3876029.47350;496.92686;50247892.78820;2.16409
2073;3871658.33550;496.36645;50564730.68435;2.15758
2074;3866413.12374;495.69399;50868312.82350;2.14977
2075;3860306.58380;494.91110;51177742.93862;2.14065
2076;3853337.44505;494.01762;51486475.60589;2.13023
2077;3845610.18006;493.02695;51826943.59645;2.11866
2078;3837001.64049;491.92329;52157295.41926;2.10574
2079;3827589.26362;490.71657;52481925.89400;2.09159
2080;3817403.41846;489.41069;52804066.48280;2.07623
2081;3806599.48023;488.02557;53123727.95136;2.05990
2082;3795412.53461;486.59135;53481638.91098;2.04294
2083;3783577.04484;485.07398;53821413.32776;2.02494
2084;3771119.83277;483.47690;54157248.65941;2.00594
2085;3758109.74950;481.80894;54484450.97896;1.98603
2086;3744445.15180;480.05707;54801745.82304;1.96505
2087;3730376.64407;478.25342;55183573.66324;1.94337
2088;3715705.91701;476.37255;55533759.75746;1.92067
2089;3700464.32534;474.41850;55875766.25277;1.89700
2090;3684717.03237;472.39962;56221316.96916;1.87245
2091;3668567.86472;470.32921;56552486.64092;1.84715
2092;3652146.67004;468.22393;56933990.17018;1.82132
2093;3635290.80275;466.06292;57287430.15899;1.79469
2094;3617996.83493;463.84575;57642580.01607;1.76724
2095;3600316.68389;461.57906;57992947.28466;1.73904
2096;3582242.78017;459.26189;58346115.18577;1.71007
2097;3563923.98308;456.91333;58730868.49970;1.68055
2098;3545233.88685;454.51716;59082565.58194;1.65029
2099;3526188.71883;452.07548;59439731.61873;1.61929
2100;3506821.64164;449.59252;59791089.67137;1.58760
2101;3487186.62814;447.07521;60146142.42687;1.55528
