Year;BRA;COD;AGO;TZA;MOZ;MMR
73;-148618.20034;356074.80445;-229430.58963;-342370.00000;-169607.48000;-211488.30000
74;-144196.80252;363569.55522;-227339.25766;-347060.00000;-171925.79000;-214385.40000
75;-139775.40470;371064.30599;-225247.92569;-351750.00000;-174244.10000;-217282.50000
76;-135354.00688;378559.05675;-223156.59372;-356440.00000;-176562.41000;-220179.60000
77;-130932.60906;386053.80752;-221065.26174;-361130.00000;-178880.72000;-223076.70000
78;-126511.21124;393548.55829;-218973.92977;-365820.00000;-181199.03000;-225973.80000
79;-122089.81343;401043.30906;-216882.59780;-370510.00000;-183517.34000;-228870.90000
80;-117668.41561;408538.05983;-214791.26583;-375200.00000;-185835.65000;-231768.00000
81;-113247.01779;416032.81060;-212699.93385;-379890.00000;-188153.96000;-234665.10000
82;-108825.61997;423527.56137;-210608.60188;-384580.00000;-190472.27000;-237562.20000
83;-104404.22215;431022.31214;-208517.26991;-389270.00000;-192790.58000;-240459.30000
84;-99982.82433;438517.06290;-206425.93794;-393960.00000;-195108.89000;-243356.40000
85;-95561.42651;446011.81367;-204334.60596;-398650.00000;-197427.20000;-246253.50000
86;-91140.02869;453506.56444;-202243.27399;-403340.00000;-199745.51000;-249150.60000
