Metric Name;Metric Value
T15Year;2031
T15CO2;443.01645
T15ForestSize;42666874.04302
T20Year;2050
T20CO2;483.01406
T20ForestSize;48172384.96486
ForestSize2050;48507904.36457
CO2Concentration2050;484.51945
Temperature2050;2.01800
ForestSize2100;75937702.45977
CO2Concentration2100;456.26259
Temperature2100;1.67240
