Year;BRA;COD;AGO;TZA;MOZ;MMR
0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;-18027.00000;-11013.80000;-5550.70000;-4690.00000;-3117.10000;-2897.10000
2;-37932.00000;-22027.50000;-11101.20000;-9380.00000;-5334.00000;-5794.20000
3;-48334.00000;-33041.30000;-16651.80000;-14070.00000;-7158.32000;-8691.30000
4;-60863.00000;-44055.10000;-22202.50000;-18760.00000;-9738.90000;-11588.40000
5;-72652.00000;-55068.80000;-27753.10000;-23450.00000;-11962.40000;-14485.50000
6;-62613.72802;-52074.00424;-33303.72500;-28140.00000;-10714.40240;-17382.60000
7;-52340.22827;-49019.83604;-38854.35000;-32830.00000;-9438.26644;-20279.70000
8;-41755.27180;-45861.90925;-44404.97500;-37520.00000;-8122.29935;-23176.80000
9;-30887.46604;-42619.59692;-49955.60000;-42210.00000;-6771.16721;-26073.90000
10;-19730.32154;-39290.96296;-55506.22500;-46900.00000;-5384.06325;-28971.00000
11;-8277.26527;-35874.04639;-61056.85000;-51590.00000;-3960.17027;-31868.10000
12;3478.35604;-32366.86225;-66607.47500;-56280.00000;-2498.66111;-34765.20000
13;15543.27220;-28767.40277;-72158.10000;-60970.00000;-998.69909;-37662.30000
14;27924.28541;-25073.63856;-77708.72500;-65660.00000;540.56147;-40559.40000
15;40628.26579;-21283.52001;-83259.35000;-70350.00000;2119.97469;-43456.50000
16;53662.14631;-17394.97870;-88809.97500;-68455.21043;3740.40251;-46353.60000
17;67032.91743;-13405.92911;-94360.60000;-69852.81564;5402.71401;-49250.70000
18;80747.62112;-9314.27032;-99911.22500;-71250.42086;7107.78468;-52147.80000
19;94813.34440;-5117.88798;-97048.49632;-69175.96624;8856.49561;-55044.90000
20;109237.21238;-814.65639;-98392.44447;-68837.54154;10649.73262;-57942.00000
21;124026.38064;3597.55927;-99736.39263;-68499.11683;12488.38532;-60839.10000
22;139188.02714;8120.90046;-96609.05337;-68160.69213;14373.34611;-63736.20000
23;154729.34335;12757.51270;-95717.35781;-67822.26743;16305.50907;-66633.30000
24;170657.52490;17509.54275;-94825.66226;-67483.84273;18285.76878;-69530.40000
25;186979.76141;22379.13556;-93933.96671;-67145.41802;20315.01909;-72427.50000
26;203703.22569;27368.43108;-93042.27115;-66806.99332;22394.15176;-75324.60000
27;220835.06218;32479.56078;-92150.57560;-66468.56862;24524.05500;-78221.70000
28;238382.37466;37714.64401;-91258.88005;-66130.14392;26705.61200;-81118.80000
29;256352.21310;43075.78408;-90367.18449;-65791.71921;28939.69924;-84015.90000
30;274751.55975;48565.06406;-89475.48894;-65453.29451;31227.18477;-86913.00000
31;293587.31436;54184.54244;-88583.79339;-65114.86981;33568.92641;-89810.10000
32;312866.27853;59936.24842;-87692.09784;-64776.44511;35965.76976;-92707.20000
