Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240428.78810;415.43959;40358926.75113;1.12797
2022;3260417.05240;418.00219;40348639.01084;1.16356
2023;3282083.11976;420.77989;40339527.29647;1.20191
2024;3303594.17049;423.53771;40330548.51479;1.23974
2025;3324942.52777;426.27468;40322612.19619;1.27703
2026;3346120.48669;428.98981;40312636.49584;1.31378
2027;3367118.88766;431.68191;40310015.51489;1.35000
2028;3387928.05561;434.34975;40306059.33239;1.38566
2029;3408538.82674;436.99216;40303707.95309;1.42077
2030;3428941.17593;439.60784;40302520.50285;1.45531
2031;3449124.90292;442.19550;40301187.37265;1.48928
2032;3469078.68354;444.75368;40304933.66299;1.52267
2033;3488791.05285;447.28090;40306387.81978;1.55546
2034;3508250.48221;449.77570;40310241.73493;1.58765
2035;3527444.33053;452.23645;40315386.50259;1.61922
2036;3546360.34984;454.66158;40317317.38038;1.65017
2037;3564984.49404;457.04929;40328159.02923;1.68047
2038;3583302.19284;459.39772;40335600.42142;1.71012
2039;3601299.29023;461.70504;40346067.38029;1.73911
2040;3618960.57120;463.96930;40356122.80306;1.76741
2041;3636270.43698;466.18852;40368099.14786;1.79501
2042;3653211.66018;468.36047;40386106.57497;1.82190
2043;3669766.78281;470.48292;40404021.20926;1.84805
2044;3685874.60489;472.54803;40421430.88866;1.87338
2045;3701538.43018;474.55621;40434376.87203;1.89790
2046;3716737.09275;476.50476;40449644.59335;1.92160
2047;3731450.50903;478.39109;40470883.39700;1.94444
2048;3745657.49063;480.21250;40491688.55692;1.96641
2049;3759337.39086;481.96633;40512231.58959;1.98749
2050;3772469.07081;483.64988;40532767.45545;2.00765
2051;3785031.87922;485.26050;40547848.34463;2.02687
2052;3797003.52754;486.79532;40571012.26490;2.04512
2053;3808360.59479;488.25136;40594166.78593;2.06238
2054;3819081.33901;489.62581;40614337.53493;2.07862
2055;3829143.70782;490.91586;40636132.12830;2.09383
2056;3838525.15283;492.11861;40658058.23319;2.10797
2057;3847202.89142;493.23114;40684293.14965;2.12101
2058;3855154.42050;494.25057;40710739.70728;2.13294
2059;3862359.39101;495.17428;40731163.60170;2.14373
2060;3868798.46591;495.99980;40749351.23277;2.15335
2061;3874451.70886;496.72458;40769866.90546;2.16178
2062;3879296.81703;497.34575;40793974.91508;2.16900
2063;3883316.49993;497.86109;40818246.03254;2.17497
2064;3886490.72613;498.26804;40841575.57980;2.17969
2065;3888806.63171;498.56495;40864905.43924;2.18313
2066;3890251.44887;498.75019;40888235.54900;2.18527
2067;3890812.50925;498.82212;40911665.11580;2.18611
2068;3890481.72426;498.77971;40935044.95408;2.18562
2069;3889252.82933;498.62216;40958424.79236;2.18379
2070;3887122.28711;498.34901;40981804.63064;2.18063
2071;3884089.51278;497.96019;41005184.46891;2.17613
2072;3880156.13021;497.45591;41028837.50284;2.17029
2073;3875328.18739;496.83695;41053773.42237;2.16311
2074;3869614.88694;496.10447;41078972.26190;2.15460
2075;3863029.14788;495.26015;41104328.18143;2.14478
2076;3855587.75735;494.30612;41129684.10096;2.13366
2077;3847414.65796;493.25829;41155174.91616;2.12143
2078;3838369.77350;492.09869;41181935.00660;2.10786
2079;3828536.63701;490.83803;41210496.81987;2.09308
2080;3817946.54773;489.48033;41239058.63315;2.07711
2081;3806771.06052;488.04757;41267620.44643;2.06022
2082;3795283.35008;486.57479;41296182.25971;2.04281
2083;3783188.27903;485.02414;41324892.07299;2.02442
2084;3770511.45543;483.39890;41353953.88627;2.00508
2085;3757327.29080;481.70863;41383015.69955;1.98490
2086;3743756.90694;479.96883;41412077.51282;1.96406
2087;3730041.16939;478.21041;41441139.32610;1.94292
2088;3715948.07438;476.40360;41470201.13938;1.92111
2089;3701489.94563;474.54999;41499262.95266;1.89866
2090;3686709.61296;472.65508;41528324.76594;1.87562
2091;3671679.42616;470.72813;41557386.57922;1.85209
2092;3656576.18307;468.79182;41586448.39250;1.82835
2093;3641242.18269;466.82592;41615510.20578;1.80415
2094;3625684.46056;464.83134;41679203.77890;1.77950
2095;3609922.21153;462.81054;41725581.47210;1.75441
2096;3594001.46338;460.76942;41771963.41241;1.72896
2097;3578032.69919;458.72214;41818345.49311;1.70332
2098;3561918.52705;456.65622;41864792.04381;1.67733
2099;3545662.83674;454.57216;41911941.62451;1.65099
2100;3529281.23942;452.47195;41959091.20521;1.62433
2101;3512800.81121;450.35908;42006240.78592;1.59738
