Metric Name;Metric Value
T15Year;2031
T15CO2;443.01526
T15ForestSize;40846975.76931
T20Year;2047
T20CO2;483.00080
T20ForestSize;42323936.65171
ForestSize2050;42740032.70298
CO2Concentration2050;489.67111
Temperature2050;2.07933
ForestSize2100;52975677.33331
CO2Concentration2100;464.33719
Temperature2100;1.77425
