Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240511.83792;415.45024;40396926.58560;1.12812
2022;3260575.06176;418.02244;40428033.90627;1.16385
2023;3282382.32879;420.81825;40461953.60353;1.20244
2024;3304078.22341;423.59977;40498621.60357;1.24059
2025;3325657.57415;426.36636;40538100.96106;1.27828
2026;3347114.96882;429.11730;40580455.54278;1.31551
2027;3368444.73185;431.85189;40625749.99523;1.35229
2028;3389640.94815;434.56935;40674049.70846;1.38860
2029;3410697.42791;437.26890;40725420.77614;1.42445
2030;3431607.70387;439.94971;40779929.95148;1.45983
2031;3452365.02230;442.61090;40837644.59887;1.49473
2032;3472962.33424;445.25158;40898632.64095;1.52916
2033;3493392.28702;447.87081;40962962.50094;1.56311
2034;3513647.21612;450.46759;41030703.03991;1.59657
2035;3533719.13766;453.04092;41101923.48880;1.62954
2036;3553599.74142;455.58971;41176693.37492;1.66200
2037;3573280.38468;458.11287;41255082.44262;1.69396
2038;3592752.08703;460.60924;41337160.56798;1.72541
2039;3612005.52621;463.07763;41422997.66715;1.75634
2040;3631031.03527;465.51680;41512663.59803;1.78673
2041;3649818.60130;467.92546;41606228.05520;1.81659
2042;3668357.86579;470.30229;41703760.45762;1.84591
2043;3686539.26763;472.63324;41803898.86558;1.87451
2044;3704396.96100;474.92269;41907402.41327;1.90246
2045;3721917.30698;477.16889;42014326.70971;1.92975
2046;3739086.13292;479.37002;42125709.95700;1.95637
2047;3755888.80300;481.52421;42240768.70017;1.98231
2048;3772310.55108;483.62956;42359410.57113;2.00754
2049;3788336.28417;485.68414;42481687.77395;2.03205
2050;3803950.61011;487.68598;42607651.31326;2.05584
2051;3819137.87425;489.63306;42737350.83974;2.07888
2052;3833882.20227;491.52336;42870834.48772;2.10116
2053;3848167.54978;493.35481;43008148.70473;2.12266
2054;3861977.75910;495.12535;43149338.07287;2.14337
2055;3875296.48300;496.83288;43295369.12186;2.16327
2056;3888107.35042;498.47530;43445434.13377;2.18235
2057;3900394.28211;500.05055;43599494.93928;2.20059
2058;3912141.39367;501.55659;43757586.70555;2.21797
2059;3923333.03598;502.99141;43920364.35621;2.23448
2060;3933953.73986;504.35304;44087733.65495;2.25010
2061;3943988.79162;505.63959;44259221.18696;2.26482
2062;3953424.15441;506.84925;44434849.17611;2.27862
2063;3962246.56000;507.98033;44614674.52384;2.29150
2064;3970443.64384;509.03124;44798691.77302;2.30344
2065;3977165.78069;509.89305;44983091.40173;2.31321
2066;3982808.45678;510.61647;45169770.26958;2.32140
2067;3987357.99924;511.19974;45358728.28802;2.32799
2068;3990803.40834;511.64146;45549962.77658;2.33298
2069;3993136.63042;511.94059;45743468.05300;2.33635
2070;3994352.82498;512.09652;45939235.27121;2.33811
2071;3994450.62054;512.10905;46137252.25717;2.33825
2072;3993432.34550;511.97851;46337776.53872;2.33678
2073;3991303.92728;511.70563;46541798.47752;2.33370
2074;3988075.52875;511.29173;46748274.95186;2.32904
2075;3983761.66346;510.73867;46957072.97092;2.32279
2076;3978383.92211;510.04922;47152006.43353;2.31500
2077;3972087.15482;509.24194;47365421.24324;2.30587
2078;3964644.11930;508.28771;47576251.86504;2.29506
2079;3956183.77567;507.20305;47790031.20097;2.28274
2080;3946747.43742;505.99326;48004916.64781;2.26898
2081;3936543.29578;504.68504;48220877.49072;2.25406
2082;3925876.45600;503.31749;48437880.14913;2.23842
2083;3914401.92485;501.84640;48656036.10213;2.22155
2084;3902152.18728;500.27592;48875509.81921;2.20349
2085;3889219.51357;498.61789;49095906.69717;2.18437
2086;3875753.29611;496.89145;49317181.00400;2.16439
2087;3862039.12297;495.13322;49539283.83064;2.14397
2088;3847797.00990;493.30731;49762163.05141;2.12269
2089;3833042.30117;491.41568;49985763.29424;2.10056
2090;3817827.80551;489.46510;50210025.92142;2.07765
2091;3802034.08580;487.44027;50433570.76325;2.05378
2092;3785913.17975;485.37348;50657115.60508;2.02931
2093;3769289.85222;483.24229;50880660.44692;2.00397
2094;3752189.09897;481.04988;51167835.45988;1.97779
2095;3734656.04311;478.80206;51423195.38728;1.95083
2096;3716786.02754;476.51103;51678559.56178;1.92321
2097;3698718.31507;474.19466;51933923.87667;1.89516
2098;3680302.79169;471.83369;52189352.66157;1.86643
2099;3661550.16546;469.42951;52445484.47647;1.83702
2100;3642493.70464;466.98637;52701616.29137;1.80699
2101;3623188.44129;464.51134;52957748.10627;1.77640
