Year;BRA;COD;AGO;TZA;MOZ;MMR
0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;-18027.00000;-11013.80000;-5550.70000;-4690.00000;-3117.10000;-2897.10000
2;-37932.00000;-22027.50000;-11101.20000;-9380.00000;-5334.00000;-5794.20000
3;-48334.00000;-33041.30000;-16651.80000;-14070.00000;-7158.32000;-8691.30000
4;-60863.00000;-44055.10000;-22202.50000;-18760.00000;-9738.90000;-11588.40000
5;-72652.00000;-55068.80000;-27753.10000;-23450.00000;-11962.40000;-14485.50000
6;-62613.72802;-52074.00424;-26020.19544;-22180.79861;-10714.40240;-17382.60000
7;-52340.22827;-49019.83604;-24251.70597;-20886.46847;-9438.26644;-20279.70000
8;-47850.89067;-45861.90925;-22424.41141;-19548.13166;-8122.29935;-23176.80000
9;-43361.55307;-42619.59692;-20548.28822;-18174.03207;-6771.16721;-26073.90000
10;-32162.28949;-39290.96296;-18622.21610;-16763.34917;-5384.06325;-28971.00000
11;-24317.98890;-35874.04639;-16645.06037;-15315.25188;-3960.17027;-31868.10000
12;-16473.68831;-32366.86225;-14615.67244;-13828.89899;-2498.66111;-34765.20000
13;-8629.38772;-28767.40277;-12532.89055;-12303.43959;-998.69909;-37662.30000
14;-785.08713;-25073.63856;-10395.54042;-10738.01363;540.56147;-40559.40000
15;7059.21347;-21283.52001;-8202.43605;-9131.75247;2119.97469;-43456.50000
16;14903.51406;-17394.97870;-5952.38060;-7483.77952;3740.40251;-46353.60000
17;22747.81465;-13405.92911;-3644.16730;-5793.21091;5402.71401;-49250.70000
18;30592.11524;-9314.27032;-1276.58048;-4059.15629;7107.78468;-52147.80000
19;38436.41583;-5117.88798;1031.96040;-2280.71959;8856.49561;-55044.90000
20;46280.71642;-814.65639;3340.50128;-456.99991;10649.73262;-57942.00000
21;54125.01701;3597.55927;5649.04217;1412.90746;12488.38532;-60839.10000
22;61969.31760;8120.90046;7957.58305;3329.91010;14373.34611;-63736.20000
23;69813.61820;12757.51270;10266.12393;5294.91728;16305.50907;-66633.30000
24;77657.91879;17509.54275;12574.66482;7308.83880;18285.76878;-69530.40000
25;85502.21938;22379.13556;14883.20570;9372.58369;20315.01909;-72427.50000
26;93346.51997;27368.43108;17191.74658;11487.05887;22394.15176;-75324.60000
27;101190.82056;32479.56078;19500.28746;13653.16766;24524.05500;-78221.70000
28;109035.12115;37714.64401;21808.82835;15871.80825;26705.61200;-81118.80000
29;116879.42174;43075.78408;24117.36923;18143.87203;28939.69924;-84015.90000
30;124723.72233;48565.06406;26425.91011;20470.24180;31227.18477;-81385.13123
31;132568.02293;54184.54244;28734.45099;22851.78996;33568.92641;-81518.29684
32;140412.32352;59936.24842;31042.99188;25289.37648;35965.76976;-81651.46246
33;148256.62411;65822.17697;33351.53276;27671.79512;38418.54617;-81784.62807
