Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240567.93552;415.45743;40604843.56653;1.12822
2022;3260623.55102;418.02866;40845433.82041;1.16393
2023;3282431.96864;420.82461;41093058.70522;1.20253
2024;3304115.68349;423.60457;41346415.05131;1.24065
2025;3325671.73692;426.36817;41605845.58947;1.27830
2026;3347097.40895;429.11505;41869221.09330;1.31548
2027;3368388.49883;431.84468;42147307.76805;1.35219
2028;3389540.67046;434.55650;42429783.74492;1.38843
2029;3410550.65787;437.25008;42720121.25923;1.42420
2030;3431414.60736;439.92495;43018015.42153;1.45950
2031;3452129.25135;442.58067;43319810.41004;1.49434
2032;3472690.08321;445.21668;43636265.63226;1.52871
2033;3493092.46243;447.83237;43956988.07601;1.56261
2034;3513332.55714;450.42725;44287040.59889;1.59605
2035;3533405.95982;453.00076;44624388.08061;1.62902
2036;3553309.11772;455.55245;44965416.26168;1.66153
2037;3573036.69183;458.08163;45324105.57168;1.69357
2038;3592583.19202;460.58759;45686890.89221;1.72514
2039;3611944.20507;463.06977;46060340.11813;1.75624
2040;3631115.15313;465.52758;46438377.65950;1.78687
2041;3650091.96765;467.96051;46823500.75033;1.81703
2042;3668868.01038;470.36769;47228302.04685;1.84671
2043;3687436.39108;472.74826;47641214.90890;1.87592
2044;3705783.33229;475.10043;48063452.85894;1.90463
2045;3723908.04078;477.42411;48489649.94760;1.93286
2046;3741805.34283;479.71863;48926589.78093;1.96059
2047;3759467.67064;481.98303;49381530.37244;1.98783
2048;3776887.55556;484.21635;49846165.40211;2.01457
2049;3794059.11847;486.41784;50318767.94488;2.04081
2050;3810976.87068;488.58678;50798328.86613;2.06654
2051;3827635.93494;490.72256;51281825.14182;2.09176
2052;3844028.17022;492.82412;51791823.00890;2.11648
2053;3860144.26674;494.89029;52312628.37611;2.14067
2054;3875978.60093;496.92033;52837491.40428;2.16434
2055;3891526.38325;498.91364;53368077.09287;2.18749
2056;3906781.26451;500.86939;53912240.16725;2.21012
2057;3921734.04475;502.78642;54479589.75078;2.23220
2058;3936375.90175;504.66358;55058522.82380;2.25375
2059;3950702.35290;506.50030;55634771.24553;2.27475
2060;3964709.35876;508.29607;56220501.99623;2.29521
2061;3978390.35740;510.05005;56819554.69341;2.31512
2062;3991735.83976;511.76101;57446871.79906;2.33448
2063;4004736.89484;513.42781;58084970.38650;2.35328
2064;4017389.96137;515.05000;58720146.76376;2.37151
2065;4029689.95506;516.62692;59358233.28935;2.38918
2066;4041634.78928;518.15831;60004450.12094;2.40628
2067;4053227.17491;519.64451;60695898.68625;2.42284
2068;4064437.39323;521.08172;61393941.89555;2.43880
2069;4075270.26461;522.47055;62092959.93812;2.45418
2070;4085722.92669;523.81063;62806559.50141;2.46898
2071;4095774.39669;525.09928;63510561.28837;2.48318
2072;4105429.25166;526.33708;64261831.95683;2.49678
2073;4114680.32224;527.52312;65016646.34678;2.50978
2074;4122926.70250;528.58035;65764275.41005;2.52135
2075;4130478.22010;529.54849;66523380.83835;2.53192
2076;4137343.76848;530.42869;67269679.89269;2.54151
2077;4143514.16928;531.21977;68077139.55647;2.55012
2078;4148885.54379;531.90840;68879122.21926;2.55760
2079;4153520.19792;532.50259;69680170.70439;2.56404
2080;4157454.00280;533.00692;70482036.03174;2.56951
2081;4160789.31777;533.43453;71242582.20992;2.57414
2082;4163648.65086;533.80111;72099400.48953;2.57811
2083;4165860.96718;534.08474;72943853.68307;2.58117
2084;4167446.21783;534.28798;73783517.95697;2.58337
2085;4168452.55276;534.41699;74616073.32731;2.58476
2086;4168965.65563;534.48278;75384293.14019;2.58547
2087;4169107.97609;534.50102;76285314.29658;2.58567
2088;4168696.18478;534.44823;77165260.61041;2.58510
2089;4167759.61737;534.32816;78033831.73942;2.58380
2090;4166330.40924;534.14492;78894434.77918;2.58182
2091;4164458.43300;533.90493;79750797.52003;2.57923
2092;4162234.66024;533.61983;80684744.98611;2.57615
2093;4159554.71309;533.27625;81592685.45112;2.57243
2094;4156427.35494;532.87530;82504625.72870;2.56809
2095;4152873.77269;532.41971;83390135.47557;2.56316
2096;4148929.57030;531.91405;84264879.43955;2.55768
2097;4144656.88265;531.36627;85217045.37108;2.55174
2098;4139984.40981;530.76723;86134859.98797;2.54523
2099;4133335.26136;529.91478;87056566.24530;2.53596
2100;4125329.16116;528.88835;87940959.32161;2.52479
2101;4116215.60422;527.71995;88810523.87296;2.51204
