Year;BRA;COD;AGO;TZA;MOZ;MMR
0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;-18027.00000;-11013.80000;-5550.70000;-4690.00000;-3117.10000;-2897.10000
2;-37932.00000;-22027.50000;-11101.20000;-9380.00000;-5334.00000;-5794.20000
3;-48334.00000;-33041.30000;-16651.80000;-14070.00000;-7158.32000;-8691.30000
4;-60863.00000;-44055.10000;-22202.50000;-18760.00000;-9738.90000;-11588.40000
5;-72652.00000;-55068.80000;-27753.10000;-23450.00000;-11962.40000;-14485.50000
6;-85349.75000;-52074.00424;-33303.72500;-22180.79861;-10714.40240;-17382.60000
7;-98047.50000;-49019.83604;-38854.35000;-20886.46847;-9438.26644;-20279.70000
8;-110745.25000;-45861.90925;-44404.97500;-19548.13166;-8122.29935;-23176.80000
9;-123443.00000;-42619.59692;-49955.60000;-18174.03207;-6771.16721;-26073.90000
10;-136140.75000;-39290.96296;-55506.22500;-16763.34917;-5384.06325;-28971.00000
11;-148838.50000;-35874.04639;-61056.85000;-15315.25188;-3960.17027;-31868.10000
12;-161536.25000;-32366.86225;-66607.47500;-13995.84364;-2498.66111;-34765.20000
13;-174234.00000;-28767.40277;-72158.10000;-12676.43539;-998.69909;-37662.30000
14;-186931.75000;-25073.63856;-77708.72500;-11357.02714;540.56147;-40559.40000
15;-199629.50000;-21283.52001;-83259.35000;-10037.61890;2119.97469;-43456.50000
16;-212327.25000;-17394.97870;-80706.68390;-8718.21065;3740.40251;-46353.60000
17;-225025.00000;-13405.92911;-82205.66336;-7398.80240;5402.71401;-49250.70000
18;-237722.75000;-9314.27032;-83704.64281;-6079.39416;7107.78468;-52147.80000
19;-250420.50000;-5117.88798;-80913.31386;-4759.98591;8856.49561;-55044.90000
20;-263118.25000;-814.65639;-80267.13911;-3440.57766;10649.73262;-57942.00000
21;-275816.00000;3597.55927;-79620.96436;-2121.16942;12488.38532;-60839.10000
22;-288513.75000;8120.90046;-78974.78962;-801.76117;14373.34611;-63736.20000
23;-301211.50000;12757.51270;-78328.61487;517.64708;16305.50907;-66633.30000
24;-313909.25000;17509.54275;-77682.44012;1837.05532;18285.76878;-69530.40000
25;-326607.00000;22379.13556;-77036.26537;3156.46357;20315.01909;-72427.50000
26;-339304.75000;27368.43108;-76390.09062;4475.87182;22394.15176;-75324.60000
27;-352002.50000;32479.56078;-75743.91588;5795.28006;24524.05500;-78221.70000
28;-364700.25000;37714.64401;-75097.74113;7114.68831;26705.61200;-81118.80000
29;-377398.00000;43075.78408;-74451.56638;8434.09656;28939.69924;-84015.90000
30;-390095.75000;48565.06406;-73805.39163;9753.50480;31227.18477;-86913.00000
31;-402793.50000;54184.54244;-73159.21688;11072.91305;33568.92641;-89810.10000
32;-415491.25000;59936.24842;-72513.04213;12392.32130;35965.76976;-92707.20000
