Metric Name;Metric Value
T15Year;2031
T15CO2;443.01687
T15ForestSize;42647133.84886
T20Year;2049
T20CO2;483.01324
T20ForestSize;48128146.90641
ForestSize2050;48535017.75571
CO2Concentration2050;484.86696
Temperature2050;2.02215
ForestSize2100;76282871.58834
CO2Concentration2100;460.79211
Temperature2100;1.72929
