Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240448.53706;415.44212;40422639.43906;1.12800
2022;3260437.66988;418.00483;40477322.06805;1.16360
2023;3282109.42302;420.78326;40534670.07664;1.20196
2024;3303623.58215;423.54148;40593572.42542;1.23979
2025;3324973.21046;426.27862;40654276.00894;1.27708
2026;3346151.36719;428.99377;40714554.53023;1.31384
2027;3367149.50847;431.68583;40784280.75990;1.35005
2028;3387958.68989;434.35368;40853835.70393;1.38572
2029;3408570.64272;436.99624;40926512.46930;1.42083
2030;3428976.23804;439.61234;41001903.15295;1.45537
2031;3449166.22804;442.20080;41078731.41881;1.48935
2032;3469130.29930;444.76029;41162255.91603;1.52275
2033;3488858.05802;447.28949;41245138.88648;1.55557
2034;3508339.10893;449.78707;41332106.23425;1.58779
2035;3527562.00841;452.25154;41422083.24835;1.61941
2036;3546515.83780;454.68152;41510198.70470;1.65042
2037;3565185.08381;457.07501;41609415.28827;1.68080
2038;3583557.76494;459.43048;41707053.78059;1.71054
2039;3601624.21070;461.74669;41809574.53924;1.73963
2040;3619369.27225;464.02170;41913574.96690;1.76806
2041;3636779.52611;466.25379;42017989.28484;1.79582
2042;3653837.35801;468.44069;42133846.42260;1.82289
2043;3670527.42281;470.58044;42251605.24411;1.84925
2044;3686836.49042;472.67134;42372916.33268;1.87489
2045;3702748.21797;474.71131;42492163.09333;1.89980
2046;3718246.55525;476.69828;42617171.19657;1.92395
2047;3733312.95322;478.62987;42752274.83589;1.94734
2048;3747923.75038;480.50304;42890366.74202;1.96992
2049;3762069.10052;482.31655;43031668.28670;1.99170
2050;3775713.34386;484.06581;43171142.25513;2.01263
2051;3788846.93543;485.74961;43309308.65175;2.03270
2052;3801448.21749;487.36516;43471637.23555;2.05190
2053;3813494.65123;488.90957;43636830.94259;2.07018
2054;3824968.07199;490.38052;43798966.12552;2.08755
2055;3835851.15799;491.77579;43958665.79223;2.10396
2056;3846125.10985;493.09296;44124323.16856;2.11942
2057;3855769.06336;494.32937;44301136.40455;2.13389
2058;3864762.86389;495.48242;44481056.34733;2.14735
2059;3873089.41574;496.54993;44655835.45227;2.15978
2060;3880732.48664;497.52981;44831520.34473;2.17117
2061;3887674.99507;498.41987;45011083.44153;2.18150
2062;3893898.43975;499.21775;45204963.57144;2.19073
2063;3899385.35864;499.92120;45402199.14991;2.19887
2064;3904123.66509;500.52868;45587928.39576;2.20588
2065;3908103.27010;501.03888;45772822.39699;2.21176
2066;3911313.75661;501.45048;45957150.75644;2.21650
2067;3913741.84321;501.76177;46168160.34518;2.22008
2068;3915375.79567;501.97126;46380484.57018;2.22249
2069;3916211.58996;502.07841;46585207.64212;2.22373
2070;3916246.69550;502.08291;46795753.39361;2.22378
2071;3915481.77839;501.98484;46993912.95671;2.22265
2072;3913916.26879;501.78414;47221288.12940;2.22034
2073;3911550.10527;501.48078;47449004.99268;2.21685
2074;3908393.09097;501.07604;47664241.48318;2.21220
2075;3904211.12549;500.53989;47881511.07420;2.20602
2076;3899141.41541;499.88993;48096878.05821;2.19853
2077;3893278.29948;499.13824;48337212.05463;2.18985
2078;3886496.89239;498.26883;48571806.73806;2.17980
2079;3878879.69416;497.29227;48801622.74983;2.16849
2080;3870459.19229;496.21272;49025860.80803;2.15596
2081;3861409.39068;495.05249;49246412.96260;2.14247
2082;3851982.30774;493.84389;49495473.54274;2.12838
2083;3841891.95721;492.55025;49734237.12871;2.11326
2084;3831166.84407;491.17524;49964102.85574;2.09715
2085;3819882.79592;489.72856;50184159.77633;2.08016
2086;3808158.67392;488.22547;50409138.92916;2.06244
2087;3796220.93306;486.69499;50663329.35425;2.04435
2088;3783842.12219;485.10796;50906720.98154;2.02554
2089;3771038.43332;483.46647;51136377.02081;2.00601
2090;3757852.76347;481.77600;51373166.20103;1.98583
2091;3744357.03356;480.04577;51594194.55844;1.96511
2092;3730714.89112;478.29678;51877858.09571;1.94408
2093;3716739.49693;476.50506;52141317.62506;1.92246
2094;3702433.23588;474.67093;52398591.43963;1.90025
2095;3687834.84970;472.79934;52657130.74584;1.87750
2096;3672991.80385;470.89639;52915674.29914;1.85427
2097;3657998.33797;468.97415;53176568.11139;1.83071
2098;3642760.55540;467.02058;53437543.78480;1.80668
2099;3627285.01705;465.03654;53698626.26299;1.78216
2100;3611592.17977;463.02464;53959708.74118;1.75719
2101;3595715.83820;460.98921;54220791.21938;1.73182
