Metric Name;Metric Value
T15Year;2031
T15CO2;443.01664
T15ForestSize;41106224.84740
T20Year;2049
T20CO2;483.01076
T20ForestSize;43037508.15991
ForestSize2050;43220477.32838
CO2Concentration2050;485.37535
Temperature2050;2.02823
ForestSize2100;53581043.02388
CO2Concentration2100;455.21819
Temperature2100;1.65926
