Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240433.17056;415.44015;40406676.98886;1.12798
2022;3260410.63358;418.00136;40444976.86068;1.16355
2023;3282060.04227;420.77693;40485460.58812;1.20187
2024;3303545.57356;423.53148;40527032.00678;1.23965
2025;3324859.78343;426.26407;40569927.30484;1.27688
2026;3345995.19351;428.97374;40611909.34101;1.31357
2027;3366942.69056;431.65932;40662839.90927;1.34970
2028;3387692.66342;434.31957;40713479.42061;1.38526
2029;3408236.13030;436.95335;40766790.84330;1.42026
2030;3428563.26594;439.55939;40822356.49586;1.45467
2031;3448664.49495;442.13647;40876424.41005;1.48851
2032;3468528.72972;444.68317;40939185.05339;1.52175
2033;3488144.35444;447.19799;41000814.90428;1.55438
2034;3507500.13857;449.67950;41065914.51641;1.58641
2035;3526583.94643;452.12615;41132387.51770;1.61780
2036;3545384.08685;454.53642;41196588.92521;1.64857
2037;3563886.73240;456.90856;41272020.02695;1.67868
2038;3582077.52755;459.24071;41345205.41727;1.70814
2039;3599942.75163;461.53112;41422592.80082;1.73692
2040;3617468.10789;463.77796;41497986.49750;1.76501
2041;3634639.31446;465.97940;41574255.34795;1.79241
2042;3651439.18799;468.13323;41662887.09834;1.81908
2043;3667849.96415;470.23717;41752690.54446;1.84502
2044;3683855.01804;472.28910;41844795.79998;1.87020
2045;3699437.89227;474.28691;41933949.00244;1.89461
2046;3714531.92166;476.22204;42025378.27733;1.91815
2047;3729140.19939;478.09490;42126320.07350;1.94085
2048;3743241.08319;479.90270;42228060.89561;1.96267
2049;3756808.85794;481.64216;42328329.72801;1.98359
2050;3769827.02945;483.31116;42426872.27358;2.00358
2051;3782275.83990;484.90716;42522498.45294;2.02264
2052;3794132.82587;486.42729;42631051.28712;2.04073
2053;3805353.37320;487.86582;42740522.45613;2.05780
2054;3815926.92072;489.22140;42844317.08247;2.07383
2055;3825833.21625;490.49144;42945448.69030;2.08881
2056;3835050.41092;491.67313;43050685.36219;2.10272
2057;3843542.75672;492.76189;43167003.39374;2.11550
2058;3851292.67437;493.75547;43284257.90078;2.12713
2059;3858281.28690;494.65145;43388461.35049;2.13760
2060;3864490.30004;495.44747;43493695.33647;2.14689
2061;3869899.77374;496.14100;43600468.99125;2.15497
2062;3874488.29060;496.72927;43722973.69209;2.16181
2063;3878235.85578;497.20973;43845290.27173;2.16739
2064;3881128.70230;497.58060;43953677.41237;2.17170
2065;3883155.09623;497.84040;44059003.44793;2.17471
2066;3884303.23254;497.98759;44161535.19673;2.17642
2067;3884558.39864;498.02031;44290761.81858;2.17680
2068;3883908.16870;497.93694;44416788.01501;2.17583
2069;3882348.44877;497.73698;44533889.30070;2.17351
2070;3879876.66833;497.42009;44654757.00684;2.16984
2071;3876494.04384;496.98642;44761193.33254;2.16481
2072;3872200.62306;496.43598;44897435.34693;2.15842
2073;3866998.16809;495.76900;45027884.84097;2.15066
2074;3860899.05845;494.98706;45145266.79380;2.14156
2075;3853917.74547;494.09202;45265179.67423;2.13113
2076;3846070.61610;493.08598;45382452.71830;2.11938
2077;3837472.91129;491.98371;45538399.29774;2.10647
2078;3827983.70466;490.76714;45682241.36384;2.09220
2079;3817688.10842;489.44719;45819828.40190;2.07668
2080;3806619.07180;488.02809;45951159.04214;2.05995
2081;3794945.83965;486.53152;46078144.17376;2.04226
2082;3782930.65087;484.99111;46236896.32198;2.02398
2083;3770282.20646;483.36951;46383345.14281;2.00469
2084;3757023.23149;481.66965;46519615.34655;1.98440
2085;3743230.23339;479.90131;46661754.98824;1.96321
2086;3729023.31830;478.07991;46789920.48156;1.94131
2087;3714625.27295;476.23401;46952488.00711;1.91903
2088;3699810.80007;474.33472;47097570.94272;1.89601
2089;3684597.64614;472.38431;47231406.51478;1.87228
2090;3669030.41638;470.38851;47369168.87492;1.84790
2091;3653180.99767;468.35654;47508237.64994;1.82297
2092;3637215.97362;466.30974;47675469.53654;1.79775
2093;3620979.96420;464.22820;47817958.14379;1.77199
2094;3604482.78937;462.11318;47966574.94264;1.74570
2095;3587750.04548;459.96795;48109104.51498;1.71891
2096;3570826.19797;457.79823;48254482.61522;1.69169
2097;3553822.18189;455.61823;48425462.12173;1.66421
2098;3536638.44901;453.41519;48565184.94939;1.63631
2099;3519282.41062;451.19005;48714135.80001;1.60799
2100;3501767.94637;448.94461;48863086.65063;1.57927
2101;3484121.79516;446.68228;49012037.50125;1.55019
