Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240499.84654;415.44870;40559499.88866;1.12810
2022;3260498.32426;418.01261;40753334.84172;1.16371
2023;3282197.05586;420.79449;40952612.33929;1.20211
2024;3303737.75381;423.55612;41156067.02196;1.23999
2025;3325115.23029;426.29682;41364005.96056;1.27733
2026;3346324.40695;429.01595;41574263.80943;1.31414
2027;3367358.72093;431.71266;41796775.03463;1.35041
2028;3388211.26825;434.38606;42022373.55514;1.38615
2029;3408875.93767;437.03538;42254096.63816;1.42135
2030;3429345.94438;439.65974;42491601.64257;1.45600
2031;3449614.92973;442.25832;42731212.32755;1.49011
2032;3469675.20550;444.83015;42983195.51561;1.52367
2033;3489518.74397;447.37420;43237804.60281;1.55667
2034;3509138.07828;449.88950;43499832.82140;1.58912
2035;3528525.02667;452.37500;43767206.26214;1.62100
2036;3547672.04597;454.82975;44036480.56388;1.65231
2037;3566569.65569;457.25252;44321178.36738;1.68305
2038;3585208.06984;459.64206;44607905.23746;1.71321
2039;3603578.35320;461.99722;44903189.89564;1.74278
2040;3621671.21253;464.31682;45200917.61124;1.77175
2041;3639477.58866;466.59969;45504037.98506;1.80013
2042;3656985.12392;468.84425;45827858.06919;1.82789
2043;3674181.08930;471.04886;46157572.80594;1.85502
2044;3691054.89985;473.21217;46493299.57232;1.88152
2045;3707596.36268;475.33287;46830863.75645;1.90739
2046;3723794.50672;477.40955;47177667.72185;1.93260
2047;3739635.78237;479.44048;47540008.73759;1.95715
2048;3755106.79542;481.42395;47909564.74124;1.98102
2049;3770195.57321;483.35841;48284572.68361;2.00421
2050;3784890.31067;485.24235;48664559.45708;2.02670
2051;3799179.72197;487.07432;49045781.04034;2.04849
2052;3813049.49346;488.85250;49449476.34323;2.06956
2053;3826484.05495;490.57488;49861341.27605;2.08989
2054;3839471.24502;492.23990;50274613.41445;2.10948
2055;3851999.58886;493.84610;50691822.86122;2.12831
2056;3864055.96978;495.39179;51120349.91186;2.14637
2057;3875623.85009;496.87485;51574293.58064;2.16364
2058;3886687.26952;498.29324;52036884.33806;2.18012
2059;3897235.79334;499.64561;52492735.92552;2.19578
2060;3907259.65315;500.93072;52954996.04762;2.21062
2061;3916746.65525;502.14701;53427491.83517;2.22463
2062;3925682.02984;503.29257;53924856.55335;2.23780
2063;3934052.02989;504.36564;54429662.83298;2.25010
2064;3941848.71317;505.36522;54928128.56745;2.26154
2065;3949066.15546;506.29053;55426478.72615;2.27211
2066;3955697.49884;507.14070;55929407.54015;2.28180
2067;3961730.37816;507.91415;56471593.19328;2.29060
2068;3967153.54675;508.60943;57018187.23247;2.29850
2069;3971963.82047;509.22613;57562517.91397;2.30549
2070;3976158.22386;509.76387;58117971.05896;2.31159
2071;3979736.74950;510.22266;58661734.93144;2.31678
2072;3982695.69445;510.60201;59248501.24507;2.32107
2073;3985030.67897;510.90137;59836666.26595;2.32446
2074;3986747.62535;511.12149;60416376.19975;2.32694
2075;3987489.06698;511.21655;61004760.90654;2.32802
2076;3987451.09424;511.21168;61581422.78166;2.32796
2077;3986712.26962;511.11696;62211500.62029;2.32689
2078;3984894.14887;510.88387;62834201.48798;2.32426
2079;3982194.35150;510.53774;63453192.04267;2.32035
2080;3978657.77091;510.08433;64070231.53285;2.31522
2081;3974442.04485;509.54385;64649666.27935;2.30911
2082;3969730.78449;508.93984;65316418.48679;2.30227
2083;3964279.98106;508.24102;65968225.42881;2.29435
2084;3958117.50229;507.45096;66613012.21933;2.28538
2085;3951312.28586;506.57850;67249508.86156;2.27545
2086;3943983.34974;505.63889;67818880.48953;2.26475
2087;3936316.77219;504.65600;68514671.87157;2.25353
2088;3928101.17697;503.60271;69187315.84520;2.24149
2089;3919354.04122;502.48129;69846603.52058;2.22864
2090;3910115.46601;501.29685;70506021.49754;2.21503
2091;3900450.62923;500.05777;71155036.93562;2.20077
2092;3890451.21035;498.77580;71874287.49264;2.18598
2093;3879999.51017;497.43583;72566253.36060;2.17047
2094;3869109.31092;496.03966;73262232.74409;2.15428
2095;3857812.13556;494.59130;73934567.94913;2.13743
2096;3846159.91490;493.09742;74593755.99862;2.12000
2097;3834233.80821;491.56844;75324276.86428;2.10210
2098;3821940.35473;489.99235;76022096.15399;2.08360
2099;3809288.93310;488.37038;76725343.68780;2.06450
2100;3796300.49390;486.70519;77395310.17084;2.04482
2101;3783010.74215;485.00138;78048681.10710;2.02462
