Country ID;Net Zero 1.5;CO2 Emissions 1.5;Forest Contrib 1.5;Net Zero 2.0;CO2 Emissions 2.0;Forest Contrib 2.0;Net Zero 2050;CO2 Emissions 2050;Forest Contrib 2050;Forest Area 2050;Net Zero 2100;CO2 Emissions 2100;Forest Contrib 2100;Forest Area 2100;Reforestation Count;Reduce Emission Count;Buy Offset Count;Do Nothing Count;NDC Achieved Count;NDC Failed Count;Total Reforestation;Total Emission Reduction;Total Carbon Offset Bought;Total Carbon Offset Sold;Agriculture Count;Land Usage Count;Waste Count;Buildings Count;Industry Count;Transport Count;Manufacture Count;Eletricity and Heat Reduction;Fugitive Count;Other Fuels Count;Bunker Fuels Count;Agriculture Reduction;Land Usage Reduction;Reduction;Buildings Reduction;Industry Reduction;Transport Reduction;Manufacture Reduction;Eletricity and Heat Reduction;Fugitive Reduction;Other Fuels Reduction;Bunker Fuels Reduction
Albania;73.28577;115.93171;-4.93799;142.28947;234.24259;-8.37246;141.40506;232.55690;-8.31664;7883.55836;123.75977;347.59242;-17.56585;7874.30915;0;82;0;0;0;16;0.00000;17.55103;0.00000;0.00000;62;0;22;12;51;56;22;6;0;9;6;5.33604;0.00000;1.93165;0.96728;2.85578;3.49383;1.93154;0.24396;0.00000;0.54235;0.24860
Algeria;3246.73980;3517.00641;92355.74538;5957.92333;7581.51550;318527.86175;5925.98764;7515.44974;313954.34408;333514.34408;-1661.53859;12203.64056;1105552.01960;1125112.01960;34;48;0;0;0;16;375113.58640;518.74967;0.00000;0.00000;9;0;10;16;11;25;10;26;30;6;1;23.39162;0.00000;28.14589;51.72494;33.74992;83.67521;24.96062;96.58117;168.00628;7.78170;0.73232
Andorra;0.74588;1.61085;0.00000;1.42207;3.28754;0.00000;1.41444;3.26365;0.00000;160.00000;0.35032;4.89392;0.00000;160.00000;0;82;0;0;0;16;0.00000;0.24883;0.00000;0.00000;82;0;82;0;82;0;0;0;0;0;0;0.00000;0.00000;0.10788;0.00000;0.14095;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Angola;-1826.96213;1678.13541;-90930.31375;-3597.62286;3348.62869;-196108.16910;-3570.74875;3324.82751;-194398.57660;499428.32340;-7971.94415;4949.07433;-477647.73071;216179.16929;0;82;0;0;0;16;0.00000;247.84895;0.00000;0.00000;65;67;6;13;5;10;5;10;60;0;5;67.70817;100.19434;3.11195;13.75368;2.41160;9.26423;2.20613;9.25939;37.61241;0.00000;2.32706
Antigua and Barbuda;21.04321;21.47111;-10.62716;42.93248;43.78418;-22.82547;42.62084;43.46627;-22.62720;61.87280;63.55085;65.16161;-55.47785;29.02215;0;82;0;0;0;16;0.00000;3.31124;0.00000;0.00000;5;0;23;14;64;29;0;51;0;0;60;0.02767;0.00000;0.37824;0.19832;0.99054;0.45202;0.00000;0.55451;0.00000;0.00000;0.70993
Argentina;3735.43972;5261.62223;-17461.42250;7401.56091;10574.41326;-37807.72984;7351.61256;10498.71664;-37477.01484;253492.98516;8709.86630;15664.42670;-92270.62443;198699.37557;0;82;0;0;0;16;0.00000;788.32120;0.00000;0.00000;59;20;11;14;15;42;11;50;14;7;3;266.36326;65.58584;42.42359;52.41921;55.09122;81.55244;39.67216;110.90294;52.65774;18.44947;3.20334
Armenia;113.23786;130.95892;-34.40220;229.92947;267.91627;-74.19475;228.30552;265.96490;-73.54795;3221.65205;308.12115;399.13068;-180.71123;3114.48877;0;82;0;0;0;16;0.00000;20.32582;0.00000;0.00000;50;1;14;42;11;54;10;32;16;11;5;3.46294;0.02412;1.44161;3.05253;1.10416;4.48149;0.85013;2.79478;1.73415;1.15270;0.22720
Australia;380.40532;8067.32272;257771.88481;-2095.01691;17284.53610;866272.71131;-2022.13841;17134.71674;853967.97045;2184912.97045;-46661.53050;28847.32107;3199846.03541;4530791.03541;39;43;0;0;0;16;1236757.86169;1171.13879;0.00000;0.00000;24;6;5;5;6;22;10;29;14;3;5;222.81456;22.44813;20.52693;23.99171;29.31132;184.60918;74.43764;443.14663;117.50140;7.56773;24.78355
Austria;720.40954;931.81925;588.28494;1446.36755;1906.27826;1268.66640;1436.55669;1892.39417;1257.60728;40069.50728;1693.84255;2839.87596;3089.90813;41901.80813;0;82;0;0;0;16;0.00000;144.49460;0.00000;0.00000;19;0;7;24;10;63;49;61;1;5;7;14.19340;0.00000;2.41249;16.40447;6.25073;45.71089;20.84880;34.79894;0.15355;1.25579;2.46556
Azerbaijan;627.54517;690.67979;1824.27182;1265.91945;1414.55347;3964.28411;1257.10242;1404.23972;3929.49971;14708.36971;1664.72332;2108.07345;9692.65839;20471.52839;0;82;0;0;0;16;0.00000;107.39481;0.00000;0.00000;37;0;14;36;8;30;9;57;41;7;7;15.28258;0.00000;8.22003;15.18482;2.81370;14.45449;4.01008;27.41356;15.85054;2.26760;1.89741
Bahamas;23.42929;50.99263;0.00000;43.69995;103.14541;0.00000;43.47510;102.40234;0.00000;5098.60000;8.32392;153.11131;0.00000;5098.60000;0;82;0;0;0;16;0.00000;7.73839;0.00000;0.00000;4;3;12;16;7;53;17;65;0;4;65;0.04891;0.03637;0.41309;0.51284;0.15339;0.91384;0.54296;2.52282;0.00000;0.05477;2.53941
Bahrain;698.28113;698.32242;3.27640;1423.98316;1424.09430;7.06617;1413.64369;1413.75351;7.00457;13.00457;2119.01814;2119.43289;17.21059;23.21059;0;82;0;0;0;16;0.00000;107.70441;0.00000;0.00000;0;0;66;2;23;17;11;70;49;0;8;0.00000;0.00000;25.30351;0.19610;7.71841;6.65456;3.92994;52.10183;9.83318;0.00000;1.96689
Bangladesh;2792.41941;2894.23715;0.00000;5662.48038;5882.06927;0.00000;5621.82405;5839.49865;0.00000;18834.00000;8209.77656;8744.61469;0.00000;18834.00000;0;82;0;0;0;16;0.00000;443.37346;0.00000;0.00000;62;20;41;11;8;10;20;58;8;5;3;170.39577;34.41859;41.33290;21.86998;9.68915;21.10892;34.46505;91.74764;11.14466;5.19415;2.00665
Barbados;50.85705;51.19763;0.00000;101.94039;102.67492;0.00000;101.21335;101.94147;0.00000;63.00000;150.20461;151.99365;0.00000;63.00000;0;82;0;0;0;16;0.00000;7.63766;0.00000;0.00000;7;0;72;7;18;46;31;59;6;0;0;0.09424;0.00000;4.56663;0.13309;0.46341;0.70622;0.64539;0.95622;0.07245;0.00000;0.00000
