Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240448.51374;415.44212;40526377.38365;1.12800
2022;3260404.11409;418.00053;40685414.57023;1.16354
2023;3282021.99764;420.77205;40849086.15128;1.20181
2024;3303457.55638;423.52020;41016164.46176;1.23950
2025;3324703.85347;426.24408;41186938.89586;1.27661
2026;3345749.44272;428.94224;41358852.29745;1.31314
2027;3366587.93777;431.61384;41542066.90028;1.34908
2028;3387210.28670;434.25773;41727395.44459;1.38443
2029;3407608.12576;436.87284;41917788.96780;1.41919
2030;3427772.30269;439.45799;42112919.73453;1.45333
2031;3447693.96152;442.01205;42309089.07831;1.48687
2032;3467362.57022;444.53366;42517868.05972;1.51979
2033;3486767.23442;447.02144;42727497.02236;1.55209
2034;3505882.63973;449.47213;42942719.01971;1.58373
2035;3524704.54157;451.88520;43161769.63045;1.61471
2036;3543221.90880;454.25922;43381174.19218;1.64503
2037;3561421.61073;456.59251;43614424.94978;1.67467
2038;3579290.04613;458.88334;43848097.01478;1.70362
2039;3596814.29717;461.13004;44088688.63797;1.73188
2040;3613980.91912;463.33089;44330054.64331;1.75942
2041;3630776.53160;465.48417;44575114.25742;1.78624
2042;3647184.17192;467.58771;44839837.42600;1.81232
2043;3663186.33848;469.63927;45108690.57285;1.83764
2044;3678767.44306;471.63685;45382854.00903;1.86218
2045;3693912.11185;473.57848;45657123.58726;1.88594
2046;3708604.40039;475.46210;45937536.25432;1.90889
2047;3722825.72923;477.28535;46231511.45068;1.93102
2048;3736557.25606;479.04580;46530845.14540;1.95231
2049;3749781.42671;480.74121;46833747.24132;1.97273
2050;3762480.73753;482.36933;47139718.20432;1.99227
2051;3774638.10281;483.92796;47444988.28808;2.01092
2052;3786233.32622;485.41453;47770771.46308;2.02865
2053;3797244.89354;486.82627;48102739.57425;2.04543
2054;3807647.13345;488.15989;48434083.57445;2.06124
2055;3817426.05438;489.41360;48767435.88362;2.07606
2056;3826562.40717;490.58492;49110100.60466;2.08987
2057;3835034.53020;491.67109;49470446.94493;2.10265
2058;3842821.42818;492.66941;49837456.50915;2.11437
2059;3849896.89770;493.57653;50197078.23213;2.12499
2060;3856249.85817;494.39101;50561040.94879;2.13451
2061;3861862.55891;495.11058;50933285.60952;2.14291
2062;3866714.34865;495.73261;51332110.00913;2.15016
2063;3870786.21514;496.25464;51734857.89338;2.15624
2064;3874065.94049;496.67512;52129549.13741;2.16113
2065;3876543.50681;496.99276;52522472.30442;2.16482
2066;3878208.52312;497.20622;52918252.95447;2.16730
2067;3878995.00124;497.30705;53350899.71778;2.16847
2068;3878914.45214;497.29672;53785900.87886;2.16835
2069;3877962.20089;497.17464;54216589.82086;2.16693
2070;3876134.70130;496.94035;54656377.99515;2.16421
2071;3873432.56196;496.59392;55081286.57936;2.16019
2072;3869853.56518;496.13507;55548375.55314;2.15486
2073;3865395.76505;495.56356;56014762.03025;2.14821
2074;3860055.63333;494.87893;56470493.71571;2.14024
2075;3853851.28253;494.08350;56933186.61907;2.13096
2076;3846799.08945;493.17937;57379282.24913;2.12040
2077;3838994.04991;492.17872;57879999.50178;2.10869
2078;3830313.66300;491.06585;58372153.16336;2.09565
2079;3820829.85012;489.84998;58859272.61575;2.08136
2080;3810563.74295;488.53381;59342753.89805;2.06585
2081;3799667.58054;487.13687;59787243.96689;2.04935
2082;3788304.67987;485.68009;60317067.83339;2.03209
2083;3776247.02506;484.13423;60830632.75540;2.01373
2084;3763524.68169;482.50316;61335912.70443;1.99428
2085;3750209.31156;480.79607;61831896.65533;1.97387
2086;3736423.05898;479.02860;62259665.38505;1.95265
2087;3722344.79349;477.22369;62826258.93761;1.93091
2088;3707763.15353;475.35425;63363552.93467;1.90830
2089;3692635.26668;473.41478;63885610.27497;1.88476
2090;3677034.72710;471.41471;64399644.55206;1.86038
2091;3661033.79765;469.36331;64905183.00020;1.83527
2092;3644747.52290;467.27532;65483944.11595;1.80959
2093;3628039.05399;465.13321;66034536.32176;1.78314
2094;3610922.88579;462.93883;66587427.35026;1.75591
2095;3593433.02169;460.69654;67116070.16404;1.72796
2096;3575625.45223;458.41352;67631108.66666;1.69936
2097;3557594.28199;456.10183;68219405.94835;1.67026
2098;3539235.32799;453.74812;68772985.13439;1.64048
2099;3520558.44485;451.35365;69332386.74693;1.61003
2100;3501567.49737;448.91891;69884264.87491;1.57890
2101;3482305.44024;446.44942;70407119.44287;1.54716
