Year;CO2 Concentration;CO2 ConcentrationPPM;Forest Area;Global Temperature
2015;3115320.00000;399.40000;40618147.96000;0.90000
2016;3135211.63507;401.95021;40585448.45800;0.93685
2017;3155607.97159;404.56512;40516927.45900;0.97439
2018;3176511.04046;407.24501;40468442.34200;1.01262
2019;3198322.74244;410.04138;40417501.40000;1.05224
2020;3220411.81722;412.87331;40368318.10000;1.09210
2021;3240456.75170;415.44317;40527496.08662;1.12802
2022;3260420.06416;418.00257;40688798.88855;1.16357
2023;3282051.80156;420.77587;40854902.63329;1.20186
2024;3303505.39964;423.52633;41024578.20295;1.23958
2025;3324773.45887;426.25301;41202276.82971;1.27673
2026;3345848.59923;428.95495;41381694.49312;1.31331
2027;3366722.55011;431.63110;41572752.17167;1.34932
2028;3387383.32518;434.27991;41766125.83183;1.38473
2029;3407824.48188;436.90057;41964591.84050;1.41955
2030;3428037.22621;439.49195;42168081.51219;1.45378
2031;3448013.03646;442.05295;42372902.32885;1.48741
2032;3467741.95188;444.58230;42589304.70090;1.52043
2033;3487213.57206;447.07866;42807447.86328;1.55283
2034;3506417.96107;449.54076;43032065.79604;1.58461
2035;3525344.34954;451.96722;43261105.41742;1.61576
2036;3543982.47858;454.35673;43491103.91445;1.64627
2037;3562320.02777;456.70770;43735565.41840;1.67613
2038;3580344.24486;459.01849;43981076.94969;1.70533
2039;3598043.10028;461.28758;44234148.67479;1.73386
2040;3615404.09238;463.51335;44488554.96195;1.76170
2041;3632414.83164;465.69421;44747271.38384;1.78885
2042;3649060.10912;467.82822;45021846.85149;1.81530
2043;3665324.22379;469.91336;45301150.97726;1.84102
2044;3681192.70167;471.94778;45586374.23087;1.86600
2045;3696651.32169;473.92966;45872322.52612;1.89024
2046;3711685.14739;475.85707;46166274.25042;1.91371
2047;3726276.55805;477.72776;46474560.40965;1.93639
2048;3740407.98996;479.53949;46788730.61814;1.95828
2049;3754063.21091;481.29016;47107057.47180;1.97935
2050;3767226.07712;482.97770;47428934.29816;1.99958
2051;3779880.91605;484.60012;47750537.46927;2.01897
2052;3792008.96498;486.15500;48093145.39375;2.03748
2053;3803590.14852;487.63976;48442435.95135;2.05511
2054;3814553.22350;489.04529;48790619.34811;2.07174
2055;3824907.72774;490.37279;49140815.35854;2.08740
2056;3834635.14135;491.61989;49500328.12978;2.10208
2057;3843714.52633;492.78391;49877526.91078;2.11574
2058;3852125.60111;493.86226;50261393.34489;2.12837
2059;3859852.56527;494.85289;50637847.99089;2.13995
2060;3866880.46480;495.75391;51018633.69538;2.15045
2061;3873192.34405;496.56312;51407691.34604;2.15987
2062;3878768.90640;497.27806;51819692.50385;2.16818
2063;3883592.17407;497.89643;52237275.42711;2.17536
2064;3887650.32254;498.41671;52646718.58878;2.18139
2065;3890933.95270;498.83769;53054310.35515;2.18626
2066;3893433.22117;499.15811;53464676.18206;2.18997
2067;3895111.08828;499.37322;53918507.20997;2.19246
2068;3895924.38121;499.47748;54374547.91370;2.19366
2069;3895888.47600;499.47288;54824593.67215;2.19361
2070;3895000.22113;499.35900;55283800.85148;2.19229
2071;3893260.04959;499.13590;55729297.18396;2.18971
2072;3890664.36438;498.80312;56223694.44168;2.18587
2073;3887209.89139;498.36024;56717562.78911;2.18074
2074;3882906.35588;497.80851;57198979.61608;2.17435
2075;3877764.93642;497.14935;57687744.35700;2.16671
2076;3871799.90187;496.38460;58163166.07357;2.15784
2077;3865102.42227;495.52595;58690246.28487;2.14785
2078;3857555.73269;494.55843;59208761.77842;2.13659
2079;3849228.40233;493.49082;59721768.37856;2.12413
2080;3840146.22388;492.32644;60234635.28118;2.11051
2081;3830450.54959;491.08340;60707226.98319;2.09594
2082;3820255.75431;489.77638;61263431.74223;2.08058
2083;3809365.95778;488.38025;61803466.06294;2.06413
2084;3797812.97303;486.89910;62335300.43654;2.04663
2085;3785668.62037;485.34213;62862880.82192;2.02818
2086;3773054.65808;483.72496;63320086.04593;2.00895
2087;3760131.41922;482.06813;63902814.07875;1.98918
2088;3746700.87304;480.34627;64461554.18847;1.96857
2089;3732780.69310;478.56163;65013161.76013;1.94713
2090;3718411.80948;476.71946;65560680.37941;1.92492
2091;3703661.35174;474.82838;66097146.39468;1.90203
2092;3688663.25480;472.90555;66698183.67639;1.87866
2093;3673235.71668;470.92766;67272324.77294;1.85452
2094;3657410.84277;468.89883;67850753.57467;1.82966
2095;3641174.81961;466.81728;68404623.08413;1.80404
2096;3624599.99266;464.69231;68944888.28242;1.77777
2097;3607728.72041;462.52932;69556181.71138;1.75091
2098;3590483.74921;460.31843;70134627.04650;1.72333
2099;3572880.07719;458.06155;70726355.01623;1.69503
2100;3554946.54143;455.76238;71281068.30633;1.66607
2101;3536732.25921;453.42721;71819567.74357;1.63650
