Metric Name;Metric Value
T15Year;2031
T15CO2;443.01732
T15ForestSize;41864956.16138
T20Year;2048
T20CO2;483.00787
T20ForestSize;45353717.92790
ForestSize2050;45924731.81723
CO2Concentration2050;487.21328
Temperature2050;2.05014
ForestSize2100;66511351.49266
CO2Concentration2100;484.68263
Temperature2100;2.02072
