Metric Name;Metric Value
T15Year;2030
T15CO2;443.01201
T15ForestSize;39830812.42479
T20Year;2044
T20CO2;482.97958
T20ForestSize;39127014.06705
ForestSize2050;38832841.58993
CO2Concentration2050;500.01817
Temperature2050;2.20066
ForestSize2100;36643798.35232
CO2Concentration2100;639.73273
Temperature2100;3.62615
